YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,AGE,LAST_FLAG,PLACE,COUNTRY
2016,9056387,Camocim,Bulk Carrier,26911,,1996,20,Liberia,Chittagong,Bangladesh
2016,9106601,Leora,Bulk Carrier,77135,,1995,21,Liberia,Chittagong,Bangladesh
2016,9071416,GO Skar,Bulk Carrier,25885,,1994,22,Liberia,Chittagong,Bangladesh
2016,9121326,Ocean Queen,Bulk Carrier,85286,,1996,20,Liberia,Gadani,Pakistan
2016,8602476,Bold Challenger,Bulk Carrier,112895,,1988,28,Liberia,Gadani,Pakistan
2016,9105645,Taroko,Bulk Carrier,63253,,1996,20,Malta,Alang,India
2016,9149316,RT Aegir,Container Ship,25608,,1997,19,Marshall Islands,Alang,India
2016,7500451,Lucky Star,Passenger/Cruise Ship,14458,,1976,40,Marshall Islands,Aliaga,Turkey
2016,8605193,Mohammed H.,Other,5561,,1986,30,Moldova,Alang,India
2016,8126800,Fiskela,Bulk Carrier,8431,,1982,34,Palau,Gadani,Pakistan
2016,8508917,Salzgitter,Other,34960,,1987,29,Panama,Chittagong,Bangladesh
2016,9074145,He Fu Star,Bulk Carrier,75440,,1994,22,Panama,Chittagong,Bangladesh
2016,9105566,Orient Rich,Bulk Carrier,36559,,1995,21,Panama,Gadani,Pakistan
2016,8400567,Ocean Whisper,Bulk Carrier,16582,,1986,30,Panama,Gadani,Pakistan
2016,9003598,Jai Krishna,Other,5845,,1990,26,Panama,Alang,India
2016,8409977,M. Tide Salvage 1,Offshore/Supply Vessel,1725,,1990,26,Panama,Alang,India
2016,9116735,Orchid Dragon,Bulk Carrier,26870,,1996,20,Panama,Zhangjiagang,China
2016,8409628,BHJ Express,Container Ship,6996,,1985,31,Panama,Aliaga,Turkey
2016,81007741,Camogli Glory,Other,4373,,1982,34,Panama,Aliaga,Turkey
2016,8029595,Cyclone,Offshore/Supply Vessel,863,,1981,35,Panama,Aliaga,Turkey
2016,7612527,Russa,Container Ship,1926,,1980,36,Russia,Aliaga,Turkey
2016,8307662,Mallia,Container Ship,17879,,1984,32,Sierra Leone,Alang,India
2016,8216148,Armor Y.,Container Ship,6483,,1985,31,Sierra Leone,Gadani,Pakistan
2016,8000305,Majed and Randy,Other,3905,,1980,36,Sierra Leone,Aliaga,Turkey
2016,5133979,Catherine III,Other,5675,,1962,54,Sierra Leone,Aliaga,Turkey
2016,8897045,Sevgi,Other,1785,,1988,28,Sierra Leone,Aliaga,Turkey
2016,8314782,Daisy,Bulk Carrier,35119,,1984,32,St. Kitts-Nevis,Gadani,Pakistan
2016,7405651,Med Glory,Other,2300,,1977,39,Tanzania,Alang,India
2016,8878037,Santa Maria,Other,657,,1969,47,Tanzania,Aliaga,Turkey
2016,8883886,Pearl,Other,2457,,1971,45,Tanzania,Aliaga,Turkey
2016,8106666,Thigayu,Other,5629,,1982,34,Thailand,Chittagong,Bangladesh
2016,7801324,African 4,Bulk Carrier,15710,,1978,38,Togo,Alang,India
2016,7029201,Friendship,Container Ship,2445,,1970,46,Togo,Alang,India
2016,7601059,Aser,Container Ship,1693,,1977,39,Togo,Aliaga,Turkey
2016,8505159,Haj Walid,Bulk Carrier,13815,,1985,31,Tuvalu,Alang,India
2016,8114417,Silver Star,Bulk Carrier,20366,,1983,33,Mongolia,Chittagong,Bangladesh
