VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,DESTINATION,Unnamed: 13,Unnamed: 14
Opus,9295402,Fully Cellular Containership,41359,2005,Comoros,Schiffahrtsgesellschaft Oltmann Verwaltungs mbH & Co KG ,Germany,Schiffahrtsgesellschaft Oltmann Verwaltungs mbH & Co KG ,ms JPO Cancer Schiffahrtsges. mbH & Company KG ,Germany,2016-11-03 00:00:00,Alang,India,2016-11-19 00:00:00
Etagas,8712570,Liquefied Petroleum Gas Carrier,7314,1988,Curacao,Sloman Neptun Schiffahrts-AG ,Germany,Sloman Neptun Schiffahrts-AG ,Etagas Shipping Company N.V. ,Curacao,2016-09-23 00:00:00,Alang,India,2016-10-14 00:00:00
Hansa Constitution,9124524,Fully Cellular Containership,31730,1997,St. Kitts-Nevis,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G.  ,Germany,Hansa Shipping GmbH & Company KG  ,Hansa Constitution Shipping Company Limited  ,Liberia,2016-05-12 00:00:00,Chittagong,Bangladesh,2016-08-16 00:00:00
Tio,9215842,Fully Cellular Containership,74310,2001,Liberia,Dr. Peters GmbH & Company KG  ,Germany,DS-Schiffahrt GmbH & Company KG  ,DS-Rendite-Fonds Nr.116 DS National GmbH & Company Containerschiff KG  ,Germany,2016-06-22 00:00:00,Alang,India,2016-08-02 00:00:00
E. R. Santiago,9160437,Fully Cellular Containership,26125,1998,Liberia,E.R. Schiffahrt GmbH & Cie KG  ,Germany,E.R. Schiffahrt GmbH & Cie KG  ,ms E.R. Santiago Schiffahrtsges. mbH & Company KG ,Germany,2016-07-02 00:00:00,Alang,India,2016-07-08 00:00:00
Mond,9244219,Bulk Carrier,38846,2001,Liberia,Egon Oldendorff KG,Germany,Oldendorff Carriers GmbH & Company KG ,Oldendorff Drybulk GmbH & Company KG ,Germany,2016-02-06 00:00:00,Alang,India,2016-02-11 00:00:00
Philadelphia,9232101,Fully Cellular Containership,50242,2002,Liberia,F. Laeisz Schiffahrtsges.mbH & Company,Germany,Reederei F.Laeisz GmbH ,ms Philadelphia GmbH & Company KG ,Germany,2015-12-10 00:00:00,Alang,India,2016-01-12 00:00:00
San Diego,9141302,Fully Cellular Containership,53324,1997,Liberia,F. Laeisz Schiffahrtsges.mbH & Company ,Germany,Reederei F.Laeisz GmbH  ,Beteiligungs KG ms Alpha Schiffahrts GmbH & Company ,Germany,2016-06-27 00:00:00,Alang,India,2016-09-06 00:00:00
Phoenix I,9232084,Fully Cellular Containership,50242,2002,Liberia,F. Laeisz Schiffahrtsges.mbH & Company ,Germany,F. Laeisz Schiffahrtsges.mbH & Company ,ms Phoenix GmbH & Company KG  ,Germany,2016-06-28 00:00:00,Chittagong,Bangladesh,2016-07-25 00:00:00
Priwall ,9158965,Fully Cellular Containership,28701,1997,Liberia,F. Laeisz Schiffahrtsges.mbH & Company ,Germany,Reederei F.Laeisz GmbH  ,Schiffahrtsges. ms Priwall mbH & Company KG ,Germany,2016-03-11 00:00:00,Alang,India,2016-04-07 00:00:00
Sing,9248095,Fully Cellular Containership,50242,2002,Liberia,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G. ,Germany,Hansa Shipping GmbH & Company KG ,HS Caribe Shipping Company Limited ,Liberia,2016-10-27 00:00:00,Alang,India,2016-12-14 00:00:00
HS Master,9134608,Fully Cellular Containership,23897,1997,Liberia,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G.  ,Germany,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G.  ,Schiffahrts-Gesellschaft ms Champion mbH & Company ,Germany,2016-05-05 00:00:00,Chittagong,Bangladesh,2016-07-19 00:00:00
Jumme Trader,9158496,Fully Cellular Containership,25355,1998,Liberia,Hermann Buss GmbH & Cie KG ,Germany,Hermann Buss GmbH & Cie KG ,Hermann Buss KG ms Jumme Trader GmbH & Company ,Germany,2016-11-18 00:00:00,Alang,India,2016-12-03 00:00:00
Consul Poppe,9110212,Bulk Carrier,36074,1995,Liberia,Johann M.K. Blumenthal GmbH & Company KG Reederei,Germany,Johann M.K. Blumenthal GmbH & Company KG Reederei,ms Consul Poppe Schiffahrtsgesellschaft mbH ,Germany,2016-01-07 00:00:00,Alang,India,2016-01-27 00:00:00
Mary,9035773,Bulk Carrier,77372,1993,Liberia,Johann M.K. Blumenthal GmbH & Company KG Reederei ,Germany,Johann M.K. Blumenthal GmbH & Company KG Reederei ,RHO Shipholding Limited ,Liberia,2016-02-11 00:00:00,Chittagong,Bangladesh,2016-11-01 00:00:00
Martha  ,9039054,Bulk Carrier,79694,1994,Liberia,Johann M.K. Blumenthal GmbH & Company KG Reederei ,Germany,Johann M.K. Blumenthal GmbH & Company KG Reederei ,ms Martha Schiffahrtsgesellschaft mbH  ,Germany,2016-03-17 00:00:00,Gadani,Pakistan,2016-03-30 00:00:00
Kollmar,9056284,Fully Cellular Containership,16233,1993,Liberia,John Peter Wulff GmbH & Company KG (Reederei Hermann Wulff) ,Germany,John Peter Wulff GmbH & Company KG (Reederei Hermann Wulff) ,Zweite RHW Schiffahrtsges. mbH & Company KG ,Germany,2015-09-16 00:00:00,Alang,India,2016-03-09 00:00:00
Dimitrios C. ,8902577,Fully Cellular Containership,53833,1992,Liberia,Konig & Cie GmbH & Company KG ,Germany,Konig & Cie GmbH & Company KG ,Rayna Investments Incorporated ,St. Kitts-Nevis,2016-03-09 00:00:00,Alang,India,2016-03-10 00:00:00
HH Nikol C.,9036909,Fully Cellular Containership,53815,1993,Liberia,Konig & Cie GmbH & Company KG ,Germany,Konig & Cie GmbH & Company KG ,Aristoff International Limited ,Liberia,2015-12-18 00:00:00,Alang,India,2016-01-01 00:00:00
HH Emilia,8902553,Fully Cellular Containership,53833,1991,Liberia,Konig & Cie GmbH & Company KG ,Germany,Konig & Cie GmbH & Company KG ,Cohiba Shipping Incorporated ,Liberia,2016-02-20 00:00:00,Alang,India,2016-02-26 00:00:00
HH Johanna,8902541,Fully Cellular Containership,53783,1991,Liberia,Konig & Cie GmbH & Company KG  ,Germany,Konig & Cie GmbH & Company KG  ,Diamond Crown Corporation  ,Liberia,2016-04-02 00:00:00,Alang,India,2016-04-06 00:00:00
Kalliopi R.C. ,8902565,Fully Cellular Containership,53833,1991,Liberia,Konig & Cie GmbH & Company KG  ,Germany,Konig & Cie GmbH & Company KG  ,Fonseca Enterprises Incorporated  ,St. Kitts-Nevis,2016-04-16 00:00:00,Alang,India,2016-04-23 00:00:00
Yangtze River ,9135913,Bulk Carrier,25791,1998,Liberia,MPC Munchmeyer Petersen Steamship GmbH & Company KG  ,Germany,Ahrenkiel Steamship GmbH & Company KG  ,ms Yangtze River Schiffahrtsges. mbH & Company KG  ,Germany,2016-03-30 00:00:00,Alang,India,2016-04-07 00:00:00
Renate N.,9006851,Bulk Ore Carrier,154644,1992,Liberia,Neu Seeschiffahrt GmbH ,Germany,Neu Seeschiffahrt GmbH ,General Ore Carrier Corporation XVIII Limited ,Liberia,2016-02-18 00:00:00,Chittagong,Bangladesh,2016-03-15 00:00:00
Triglav,9144304,Bulk Carrier,24954,1998,Liberia,Peter Doehle Schiffahrts-KG  ,Germany,Splosna Plovba d.o.o. ,Genshipping Corporation  ,Liberia,2016-04-17 00:00:00,Chittagong,Bangladesh,2016-05-30 00:00:00
Postojna,9144031,Bulk Carrier,25537,1998,Liberia,Peter Doehle Schiffahrts-KG  ,Germany,Splosna Plovba d.o.o.  ,Genshipping Corporation  ,Liberia,2016-04-17 00:00:00,Gadani,Pakistan,2016-05-07 00:00:00
Anke,9219367,Fully Cellular Containership,35824,2002,Liberia,Peter Doehle Schiffahrts-KG  ,Germany,Peter Doehle Schiffahrts-KG  ,ms Anke Schiffarhts GmbH & Company KG  ,Germany,2016-08-05 00:00:00,Chittagong,Bangladesh,2016-08-22 00:00:00
Hammonia Thracium ,9151527,Fully Cellular Containership,29383,1997,Liberia,Peter Doehle Schiffahrts-KG  ,Germany,Hammonia Reederei GmbH & Company KG  ,ms Hammonia Thracium Schiffahrts GmbH & Company KG  ,Germany,2016-07-02 00:00:00,Alang,India,2016-07-20 00:00:00
Santa Giuliana,9126481,Fully Cellular Containership,21531,1996,Liberia,Reederei Claus-Peter Offen (GmbH & Company KG)  ,Germany, Reederei Claus-Peter Offen (GmbH & Company KG)  ,Kommanditgesellschaft ms Santa Giuliana Offen Reederei GmbH & Company  ,Germany,2016-09-09 00:00:00,Alang,India,2016-09-17 00:00:00
Westerhamm,9137698,Fully Cellular Containership,23896,1998,Liberia,Reederei Hans Peterson & Sohne GmbH & Company KG ,Germany,Reederei Hans Peterson & Sohne GmbH & Company KG ,Westerhamm Shipping Company Limited ,Liberia,2016-12-15 00:00:00,Alang,India,2016-12-30 00:00:00
Dreas,9152777,Fully Cellular Containership,26131,1998,Liberia,Rickmers Reederei GmbH & Cie KG ,Germany,Rickmers Reederei GmbH & Cie KG ,ms Andreas Rickmers Schiffsbeteiligungsges. mbH & Company,Germany,2015-12-16 00:00:00,Alang,India,2016-01-22 00:00:00
Albert Rickmers,9152741,Fully Cellular Containership,26131,1998,Liberia,Rickmers Reederei GmbH & Cie KG ,Germany,Rickmers Reederei GmbH & Cie KG ,Albert Navigation Company Limited ,Liberia,2016-01-28 00:00:00,Alang,India,2016-02-22 00:00:00
Mann,9153408,Fully Cellular Containership,25359,1998,Liberia,Schiffahrtsgesellschaft Oltmann Verwaltungs mbH & Co KG ,Germany,Schiffahrtsgesellschaft Oltmann Verwaltungs mbH & Co KG ,ms Ute Oltmann Schiffahrtsgesellschaft mbH & Company KG ,Germany,2016-12-27 00:00:00,Chittagong,Bangladesh,2016-12-23 00:00:00
Anika Oltmann,9138288,Fully Cellular Containership,25361,1998,Liberia,Schiffahrtsgesellschaft Oltmann Verwaltungs mbH & Co KG ,Germany,Schiffahrtsgesellschaft Oltmann Verwaltungs mbH & Co KG ,Anika Oltmann Schiffahrtsges. mbH & Company KG ,Germany,2016-12-02 00:00:00,Alang,India,2016-12-14 00:00:00
Patricia Rickmers,9160396,Fully Cellular Containership,26131,1998,Madeira,Rickmers Reederei GmbH & Cie KG  ,Germany,Rickmers Reederei GmbH & Cie KG  ,ms Patricia Rickmers Reederei Rickmers GmbH & Cie KG ,Germany,2016-06-27 00:00:00,Alang,India,2016-07-25 00:00:00
John Oldendorff,9225005,Bulk Carrier,86201,2001,Malta,Egon Oldendorff KG,Germany,Oldendorff Carriers GmbH & Company KG ,Oldendorff Carriers GmbH & Company KG ,Germany,2016-01-20 00:00:00,Chittagong,Bangladesh,2016-03-24 00:00:00
HS Mozart,9252254,Fully Cellular Containership,50243,2002,Malta,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G. ,Germany,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G. ,Schiffahrts-Ges. HS Mozart mbH & CompanyKG ,Germany,2016-09-15 00:00:00,Chittagong,Bangladesh,2016-11-01 00:00:00
AS Mars,9127502,Fully Cellular Containership,14241,1996,Marshall Islands,Alpha Ship GmbH & Company KG  ,Germany,Alpha Shipmanagement GmbH & Company KG  ,Alpha Ship GmbH & Company KG ms Mars  ,Germany,2016-09-02 00:00:00,Alang,India,2016-09-07 00:00:00
Lipica ,9144299,Bulk Carrier,24954,1998,Marshall Islands,Peter Doehle Schiffahrts-KG  ,Germany,Splosna Plovba d.o.o.  ,Genshipping Corporation  ,Liberia,2016-04-17 00:00:00,Gadani,Pakistan,2016-05-26 00:00:00
Dallas,9282950,Fully Cellular Containership,54592,2004,Palau,Bernhard Schulte Group of Companies ,Germany,Bernhard Schulte Shipmanagement (Cyprus) Company Limited ,Isinoa Shipping Limited ,Cyprus,2016-09-23 00:00:00,Chittagong,Bangladesh,2016-11-05 00:00:00
Tai,9231755,Fully Cellular Containership,65131,2002,Palau,Conti Holding GmbH & Company KG  ,Germany,Conti Reederei Management GmbH & Company Konzeptions KG  ,Conti 2 Container Schiffahrts-GmbH & Company KG ms Conti Taipei  ,Germany,2016-04-14 00:00:00,Alang,India,2016-05-05 00:00:00
Public,9215830,Fully Cellular Containership,74310,2001,Palau,Dr. Peters GmbH & Company KG ,Germany,DS-Schiffahrt GmbH & Company KG ,DS-Rendite-Fonds Nr.119 DS Republic GmbH & Company Containerschiff KG ,Germany,2016-10-21 00:00:00,Alang,India,2016-11-01 00:00:00
Dom,9215854,Fully Cellular Containership,74310,2001,Palau,Dr. Peters GmbH & Company KG  ,Germany,DS-Schiffahrt GmbH & Company KG  ,DS-Fonds Nr.118 DS Dominion GmbH & Company Containerschiff KG  ,Germany,2016-04-30 00:00:00,Chittagong,Bangladesh,2016-05-17 00:00:00
Rio,9215866,Fully Cellular Containership,74310,2001,Palau,Dr. Peters GmbH & Company KG  ,Germany,DS-Schiffahrt GmbH & Company KG  ,DS-Rendite-Fonds Nr.117 DS Patriot GmbH & Company Containershiff KG  ,Germany,2016-06-29 00:00:00,Alang,India,2016-08-02 00:00:00
Colo,9248083,Fully Cellular Containership,50242,2001,Palau,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G. ,Germany,Hansa Shipping GmbH & Company KG ,HS Colon Shipping Company Limited ,Liberia,2016-09-15 00:00:00,Alang,India,2016-10-18 00:00:00
Fenel,8501581,Bulk Carrier,13567,1986,Palau,MST Mineralien Schiffahrt Spedition und Transport GmbH  ,Germany,MST Mineralien Schiffahrt Spedition und Transport GmbH  ,Fenella Shipping (Private) Limited  ,Singapore,2016-04-06 00:00:00,Chittagong,Bangladesh,2016-04-12 00:00:00
The End,9230074,Fully Cellular Containership,25713,2001,Palau,Norddeutsche Vermogen Holding GmbH & Company  ,Germany,H. Schuldt OHG (GmbH & Company) ,Beteiligungs-KG ms Northern Endeavour Schiffahrtsges mbH & Company ,Germany,2016-06-23 00:00:00,Alang,India,2016-07-20 00:00:00
Endura,9230086,Fully Cellular Containership,25713,2001,Palau,Norddeutsche Vermogen Holding GmbH & Company  ,Germany,H. Schuldt OHG (GmbH & Company) ,Beteiligungs KG ms Northern Endurance Schiffahrts GmbH & Company ,Germany,2016-07-15 00:00:00,Alang,India,2016-08-17 00:00:00
Apu,9316323,Fully Cellular Containership,30047,2005,Palau,Peter Doehle Schiffahrts-KG ,Germany,Hammonia Reederei GmbH & Company KG ,Apulia Shipping Company Limited ,Liberia,2016-09-29 00:00:00,Alang,India,2016-11-18 00:00:00
Santa G.,9141778,Fully Cellular Containership,21531,1997,Palau,Reederei Claus-Peter Offen (GmbH & Company KG),Germany,Reederei Claus-Peter Offen (GmbH & Company KG),KG ms Santa Giulietta Offen Reederei GmbH & Company ,Germany,2016-05-18 00:00:00,Chittagong,Bangladesh,2016-05-28 00:00:00
Stin,9153393,Fully Cellular Containership,25361,1997,Palau,Reederei Heinrich und Rudolf Schepers GmbH ,Germany,Reederei Heinrich und Rudolf Schepers GmbH ,H.& H. Schepers GmbH & Company KG ms Kerstin S. ,Germany,2016-09-23 00:00:00,Alang,India,2016-10-15 00:00:00
Heike,9225419,Fully Cellular Containership,32322,2000,Palau,Reederei Stefan Patjens GmbH & Company KG ,Germany,Reederei Stefan Patjens GmbH & Company KG ,ms Heike Stefan Patjens GmbH & Company KG ,Germany,2016-09-01 00:00:00,Chittagong,Bangladesh,2016-10-09 00:00:00
Liwi,9232759,Fully Cellular Containership,32322,2001,Palau,Reederei Stefan Patjens GmbH & Company KG ,Germany,Reederei Stefan Patjens GmbH & Company KG ,ms Liwia Stefan Patjens GmbH & Company KG ,Germany,2016-09-01 00:00:00,Chittagong,Bangladesh,2016-10-21 00:00:00
Met,9232747,Fully Cellular Containership,32322,2001,Palau,Reederei Stefan Patjens GmbH & Company KG ,Germany,Reederei Stefan Patjens GmbH & Company KG ,ms Meta Stefan Patjens GmbH & Company KG ,Germany,2016-09-01 00:00:00,Alang,India,2016-10-05 00:00:00
Alex,9225407,Fully Cellular Containership,32322,2000,Palau,Reederei Stefan Patjens GmbH & Company KG ,Germany,Reederei Stefan Patjens GmbH & Company KG ,ms Alexandra Stefan Patjens GmbH & Company KG ,Germany,2016-09-01 00:00:00,Alang,India,2016-10-21 00:00:00
Rin,9236523,Fully Cellular Containership,51364,2002,Palau,Rickmers Reederei GmbH & Cie KG  ,Germany,Rickmers Reederei GmbH & Cie KG  ,ms Cathrine Rickmers Schiffahrtsges mbH & Cie KG ,Germany,2016-04-28 00:00:00,Chittagong,Bangladesh,2016-05-31 00:00:00
Venuss,9127514,Fully Cellular Containership,14241,1996,St. Kitts-Nevis,Alpha Ship GmbH & Company KG ,Germany,Alpha Shipmanagement GmbH & Company KG ,Steamship Coasters Incorporated N.V. ,Curacao,2016-11-02 00:00:00,Alang,India,2016-11-13 00:00:00
Andrew II,9134581,Fully Cellular Containership,23722,1998,St. Kitts-Nevis,Alpha Ship GmbH & Company KG  ,Germany,Alpha Shipmanagement GmbH & Company KG  ,Alpha Ship GmbH ms Pegasus & Company KG  ,Marshall Islands,2016-03-29 00:00:00,Alang,India,2016-08-04 00:00:00
Taurus - I,9134593,Fully Cellular Containership,23722,1998,St. Kitts-Nevis,Alpha Ship GmbH & Company KG  ,Germany,Alpha Shipmanagement GmbH & Company KG  ,Alpha Ship GmbH & Company KG ms Taurus  ,Germany,2016-05-05 00:00:00,Chittagong,Bangladesh,2016-08-09 00:00:00
Tor ,9127526,Fully Cellular Containership,14241,1997,St. Kitts-Nevis,Alpha Ship GmbH & Company KG  ,Germany,Alpha Shipmanagement GmbH & Company KG  ,Alpha Ship GmbH & Company KG ms Castor  ,Germany,2016-06-27 00:00:00,Alang,India,2016-09-08 00:00:00
Freeway,9149689,General Cargo With Container Capacity,18597,1998,St. Kitts-Nevis,Bereederungsgesellschaft H.Vogemann GmbH & Company KG ,Germany,Bereederungsgesellschaft H.Vogemann GmbH & Company KG ,Voge Freeway GmbH & Company KG  ,Germany,2016-04-06 00:00:00,Alang,India,2016-06-07 00:00:00
Auguste Schulte,9231169,Fully Cellular Containership,27093,2002,St. Kitts-Nevis,Bernhard Schulte Group of Companies ,Germany,Bernhard Schulte Shipmanagement (Deutschland) & Company KG ,ms Auguste Schulte Schiffahrtsges. mbH & Company KG ,Germany,2016-11-24 00:00:00,Chittagong,Bangladesh,2016-12-22 00:00:00
Henrie,9130171,Fully Cellular Containership,16281,1997,St. Kitts-Nevis,Bernhard Schulte Group of Companies ,Germany,Bernhard Schulte Shipmanagement (Deutschland) & Company KG ,ms Henriette Schulte Schifffahrtsgesellschaft mbH & Company KG ,Germany,2016-11-17 00:00:00,Alang,India,2016-12-29 00:00:00
Evan,9215646,Fully Cellular Containership,65918,2000,St. Kitts-Nevis,Conti Holding GmbH & Company KG ,Germany,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti 15 Alemania Schiffahrts GmbH & Company KG ms Conti Porto ,Germany,2016-10-28 00:00:00,Gadani,Pakistan,2016-11-15 00:00:00
Sinki,9235098,Fully Cellular Containership,65131,2002,St. Kitts-Nevis,Conti Holding GmbH & Company KG  ,Germany,Conti Reederei Management GmbH & Company Konzeptions KG  ,Conti 3 Container Schiffahrts-GmbH & Company KG ms Hanjin Helsinki  ,Germany,2016-05-23 00:00:00,Chittagong,Bangladesh,2016-06-08 00:00:00
Pra,9232072,Fully Cellular Containership,50242,2001,St. Kitts-Nevis,Dr. Peters GmbH & Company KG ,Germany,Dr. Peters GmbH & Company KG ,DS-Rendite-Fonds Nr.86 ms Praha GmbH & Company Containerschiff KG ,Germany,2016-01-19 00:00:00,Alang,India,2016-02-21 00:00:00
Kingdom,9215828,Fully Cellular Containership,74310,2001,St. Kitts-Nevis,Dr. Peters GmbH & Company KG  ,Germany,DS-Schiffahrt GmbH & Company KG  ,DS-Rendite-Fonds Nr.115 DS Kingdom GmbH & Company Containerschiff KG  ,Germany,2016-03-23 00:00:00,Alang,India,2016-04-09 00:00:00
Mundri,9139490,Fully Cellular Containership,53324,1997,St. Kitts-Nevis,F. Laeisz Schiffahrtsges.mbH & Company ,Germany,Reederei F.Laeisz GmbH  ,Beteiligungs KG ms Atlas Schiffahrtsges. mbH & Company ,Germany,2016-05-12 00:00:00,Chittagong,Bangladesh,2016-06-09 00:00:00
Galli,9122394,Fully Cellular Containership,29383,1996,St. Kitts-Nevis,Hansa Mare Reederei GmbH & Company KG  ,Germany,Hansa Mare Reederei GmbH & Company KG  ,MS Mare Gallicum Schiffahrtsges. mbH & Company KG  ,Germany,2016-05-24 00:00:00,Chittagong,Bangladesh,2016-06-07 00:00:00
HS Beethoven-I,9252266,Fully Cellular Containership,50243,2002,St. Kitts-Nevis,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G. ,Germany,Hansa Shipping GmbH & Company KG ,Schiffahrts-Gesellschaft HS Beethoven MbH & Company KG ,Germany,2016-08-11 00:00:00,Chittagong,Bangladesh,2016-10-01 00:00:00
Glory 1,9124378,Fully Cellular Containership,23897,1996,St. Kitts-Nevis,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G.  ,Germany,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G.  ,Schiffahrts-Gesellschaft ms Glory mbH & Company ,Germany,2016-05-17 00:00:00,Chittagong,Bangladesh,2016-08-31 00:00:00
Primus I,9124380,Fully Cellular Containership,23897,1997,St. Kitts-Nevis,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G.  ,Germany,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G.  ,Schiffahrtsges. ms Primus mbH & Company ,Germany,2016-06-10 00:00:00,Alang,India,2016-08-02 00:00:00
Viktoria Wulff-I,9252101,Fully Cellular Containership,52701,2006,St. Kitts-Nevis,John Peter Wulff GmbH & Company KG (Reederei Hermann Wulff) ,Germany,John Peter Wulff GmbH & Company KG (Reederei Hermann Wulff) ,Erste RHW Schiffahrtsges. mbH & Company KG ,Germany,2016-09-15 00:00:00,Chittagong,Bangladesh,2016-11-15 00:00:00
Olf,9185401,Fully Cellular Containership,32322,1999,St. Kitts-Nevis,John Peter Wulff GmbH & Company KG (Reederei Hermann Wulff)  ,Germany,John Peter Wulff GmbH & Company KG (Reederei Hermann Wulff)  ,MS Elbwolf John-Peter Wulff Schiffahrtsges. mbH & Company KG ,Germany,2016-01-20 00:00:00,Chittagong,Bangladesh,2016-06-21 00:00:00
HH North,9151876,Fully Cellular Containership,7171,1998,St. Kitts-Nevis,Konig & Cie GmbH & Company KG ,Germany,Konig & Cie GmbH & Company KG ,Julieta Corporation ,Germany,2016-09-28 00:00:00,Alang,India,2016-10-07 00:00:00
Ela S. ,9153381,Fully Cellular Containership,25361,1997,St. Kitts-Nevis,Reederei Heinrich und Rudolf Schepers GmbH ,Germany,Reederei Heinrich und Rudolf Schepers GmbH ,Rudolf Schepers Schiffahrtsges. mbH & Company KG ms Michaela S. ,Germany,2016-09-29 00:00:00,Alang,India,2016-12-07 00:00:00
Hyundai No.103,8517944,Vehicle Carrier,40772,1986,St. Kitts-Nevis,Rickmers Reederei GmbH & Cie KG ,Germany,Global Management Limited ,Frimley Assets S.A. ,Panama,2016-03-15 00:00:00,Chittagong,Bangladesh,2016-03-30 00:00:00
Aenne,9152753,Fully Cellular Containership,26131,1998,St. Kitts-Nevis,Rickmers Reederei GmbH & Cie KG  ,Germany,Rickmers Reederei GmbH & Cie KG  ,ms Aenne Rickmers Schiffsbeteiligungsges. mbH & Company ,Germany,2016-03-24 00:00:00,Alang,India,2016-04-28 00:00:00
HH West,9145243,Fully Cellular Containership,7171,1998,St. Kitts-Nevis ,OSM Shipping GmbH & Company KG ,Germany,OSM Shipping GmbH & Company KG ,Seashore Investment Corporation ,Germany,2016-02-10 00:00:00,Aliaga,Turkey,2016-02-18 00:00:00
Electra,8404238,Reefer,9096,1984,St. Vincent & Grenadines,Ost-West-Handel und Schiffahrt GmbH  ,Germany,Ost-West-Handel und Schiffahrt GmbH  ,Muriel Limited Incorporated  ,Panama,2016-04-04 00:00:00,Alang,India,2016-04-12 00:00:00
Sirius I,9127801,Fully Cellular Containership,21199,1998,Togo,Alpha Ship GmbH & Company KG  ,Germany,Alpha Shipmanagement GmbH & Company KG  ,Alpha Ship GmbH & Company KG ms Sirius  ,Marshall Islands,2016-04-28 00:00:00,Alang,India,2016-08-18 00:00:00
Bonny I,9228514,Fully Cellular Containership,30024,2001,Togo,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G. ,Germany,Hansa Treuhand Schiffsbeteiligungs AG & Company K.G. ,Schiffahrtsgesellschaft ms Bonny mbH & Company KG ,Germany,2016-10-06 00:00:00,Chittagong,Bangladesh,2016-11-23 00:00:00
Kriton,8904264,Product Tanker,28933,1991,Bahamas,Ionia Management S.A.  ,Greece,Ionia Management S.A.  ,Kriton Maritime S.A.  ,Bahamas,2016-04-18 00:00:00,Chittagong,Bangladesh,2016-04-28 00:00:00
Belgian Reefer,8300365,Reefer,12383,1983,Bahamas,Kollakis Group  ,Greece,Chartworld Shipping Corporation  ,Prow Shipping Corporation  ,Marshall Islands,2016-09-09 00:00:00,Alang,India,2016-09-23 00:00:00
Navaho,9118226,Bulk Carrier,10421,1995,Bahamas,MFS Shipmanagement Corporation  ,Greece,MFS Shipmanagement Corporation  ,Navaho Shipping Limited  ,Marshall Islands,2016-05-20 00:00:00,Aliaga,Turkey,2016-05-24 00:00:00
Aggeliki,7637632,General Cargo,1982,1977,Belize,New Kronos Star Maritime Company S.A. ,Greece,New Kronos Star Maritime Company S.A. ,Escada Shipmanagement Corporation ,Marshall Islands,2016-09-01 00:00:00,Aliaga,Turkey,2016-09-01 00:00:00
Roxy,9275646,Fully Cellular Containership,54881,2004,Comoros,Box Ships Incorporated ,Greece,Box Ships Incorporated ,Box Ships Incorporated ,Greece,2016-09-28 00:00:00,Alang,India,2016-10-18 00:00:00
Eli,9154139,Bulk Carrier,37787,1997,Comoros,Coronis Shipping Company Limited ,Greece,Carras (Hellas) Limited ,Armonia Shipmanagement S.A. ,Panama,2015-12-03 00:00:00,Chittagong,Bangladesh,2016-01-04 00:00:00
Rain,8406054,Liquefied Petroleum Gas Carrier,47938,1986,Comoros,Naftomar Shipping & Trading Company Limited ,Greece,Naftomar Shipping & Trading Company Limited ,Gaz Sea Transportation Shipping & Trading Company S.A. ,Greece,2016-09-08 00:00:00,Gadani,Pakistan,2016-10-14 00:00:00
Gazal,7904205,Liquid Petroleum Gas Carrier,8997,1987,Comoros,Naftomar Shipping & Trading Company Limited  ,Greece,Naftomar Shipping & Trading Company Limited  ,Ocean Chemical Shipping & Trading Company S.A.  ,Greece,2016-04-21 00:00:00,Alang,India,2016-05-09 00:00:00
Lass,9070773,Bulk Carrier,25498,1994,Comoros,Perseas Shipping S.A. ,Greece,Perseas Shipping S.A. ,Anassa S.A. ,Panama,2016-03-01 00:00:00,Alang,India,2016-03-19 00:00:00
Sam ,9018414,Product Tanker,25800,1991,Comoros,Polyar Shipping Company Limited  ,Greece,Polyar Shipping Company Limited  ,Sakama Shipping Private Limited  ,Singapore,2016-08-03 00:00:00,Gadani,Pakistan,2016-08-20 00:00:00
Bailey Taylor,9175456,Bulk Carrier,18179,1998,Comoros,Quantum Shipping Limited ,Greece,Quantum Shipping Limited ,Picture Maritime Corporation ,Marshall Islands,2016-02-08 00:00:00,Alang,India,2016-04-05 00:00:00
Bambi,9074119,Bulk Carrier,81120,1994,Comoros,The Angelicoussis Group ,Greece,Anangel Shipping Enterprises S.A. ,Ambition Special Maritime Enterprise (ENE) ,Greece,2015-11-26 00:00:00,Chittagong,Bangladesh,2016-01-18 00:00:00
Angel,9387102,Fully Cellular Containership,54828,2006,Comoros,Unitized Ocean Transport Limited ,Greece,Unitized Ocean Transport Limited ,Kapa Shipping Company Incorporated ,Marshall Islands,2016-10-27 00:00:00,Alang,India,2016-12-02 00:00:00
