VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,DESTINATION,Unnamed: 13,Unnamed: 14
Goa,8511665,Bulk Carrier,28029,1998,India,The Shipping Corporation of India Limited  ,India,The Shipping Corporation of India Limited  ,The Shipping Corporation of India Limited  ,India,2016-07-02 00:00:00,Alang,India,2016-07-08 00:00:00
Aarti Prem ,9087738,Bulk Carrier,35889,1994,Liberia,Mercator Limited  ,India,Mercator Limited  ,Mercator Lines (Singapore) Limited  ,Singapore,2016-02-11 00:00:00,Gadani,Pakistan,2016-03-31 00:00:00
Bao,8316429,General Cargo,17384,1984,Niue,Doehle Danautic India Private Limited ,India,Doehle Danautic India Private Limited ,Novatic Trading FZE ,India,2016-02-13 00:00:00,Alang,India,2016-02-24 00:00:00
Cagayan,8512607,General Cargo With Container Capacity,5954,1986,Niue,Elektrans Shipping Private Limited  ,India,Elektrans Shipping Private Limited  ,Novatic Trading FZE  ,India,2016-07-20 00:00:00,Alang,India,2016-07-23 00:00:00
Discoverer,7506467,Drill Ship,5897,1977,Palau,Jindal Drilling & Industries Limited ,India,Jindal Drilling & Industries Limited ,Venus Drilling Private Limited ,Singapore,2016-10-06 00:00:00,Alang,India,2016-11-04 00:00:00
Span Asia 17,7724344,General Cargo With Container Capacity,9754,1981,Palau,Prayati Shipping Private Limited  ,India,Prayati Shipping Private Limited  ,Best Oasis Limited  ,Hong Kong,2016-05-02 00:00:00,Chittagong,Bangladesh,2016-05-22 00:00:00
Prude,8913588,Product Tanker,28223,1991,Palau,Seven Islands Shipping Limited ,India,Seven Islands Shipping Limited ,Seven Islands Shipping Limited ,India,2016-10-06 00:00:00,Gadani,Pakistan,2016-10-26 00:00:00
The Guide,9124902,Bulk Carrier,37846,1996,Panama,Merali family ,India,Merali family ,Tutbury Trading S.A. ,Panama,2016-10-20 00:00:00,Gadani,Pakistan,2016-11-10 00:00:00
The Opener,9052604,Bulk Carrier,38267,1994,Panama,Merali Group ,India,Merali Group ,Nilsar Trading Incorporated ,Panama,2016-03-05 00:00:00,Alang,India,2016-03-14 00:00:00
The Creator,9077226,Bulk Carrier,36074,1995,Panama,SNP Shipping Services Private Limited  ,India,SNP Shipping Services Private Limited  ,Dasari World S.A.  ,Panama,2016-03-11 00:00:00,Gadani,Pakistan,2016-03-24 00:00:00
The Forgiver,9055620,Bulk Carrier,38267,1994,Panama,SNP Shipping Services Private Limited  ,India,SNP Shipping Services Private Limited  ,Goldbell Business Corporation  ,Panama,2016-09-18 00:00:00,Gadani,Pakistan,2016-09-22 00:00:00
Saga G,8406793,General Cargo With Container Capacity,10097,1985,St. Kitts-Nevis,Pelmar Shipping & Engineering Private Limited ,India,Pelmar Shipping & Engineering Private Limited ,Taymouth Limited ,St. Vincent & Grenadines,2016-11-29 00:00:00,Chittagong,Bangladesh,2016-12-08 00:00:00
Aces,8021830,Floating Production Tanker,88122,1982,Djibouti,PT Sinar Mentari Prima ,Indonesia,PT Sinar Mentari Prima ,PT Sinar Mentari Prima ,Indonesia,2016-08-05 00:00:00,Gadani,Pakistan,2016-10-10 00:00:00
Ismaya,8755601,Pontoon,9639,1951,Indonesia,P.T. Jawa Tirtamarin  ,Indonesia,P.T. Jawa Tirtamarin  ,P.T. Jawa Tirtamarin  ,Indonesia,2016-07-02 00:00:00,Chittagong,Bangladesh,2016-08-02 00:00:00
Posh,9009138,Product Tanker,25803,1991,Indonesia,P.T. Kourion Bumi Tanker ,Indonesia,P.T. Kourion Bumi Tanker ,P.T. Kourion Bumi Tanker ,Indonesia,2016-03-09 00:00:00,Gadani,Pakistan,2016-04-30 00:00:00
Port Numbay,8214384,General Cargo With Container Capacity,6405,1983,Indonesia,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,Indonesia,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL) ,Indonesia,2016-03-03 00:00:00,Chittagong,Bangladesh,2016-03-25 00:00:00
Madison,8801333,Fully Cellular Containership,12129,1990,Indonesia,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL)  ,Indonesia,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL)  ,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL)  ,Indonesia,2016-03-31 00:00:00,Chittagong,Bangladesh,2016-04-27 00:00:00
Hijau Muda,9129457,General Cargo With Container Capacity,7405,1996,Indonesia,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL)  ,Indonesia,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL)  ,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL)  ,Indonesia,2016-06-02 00:00:00,Chittagong,Bangladesh,2016-06-05 00:00:00
Kedung Mas ,8222977,General Cargo With Container Capacity,5524,1983,Indonesia,P.T. Pelayaran Tempuran Emas Tbk.  ,Indonesia,P.T. Pelayaran Tempuran Emas Tbk.  ,P.T. Pelayaran Tempuran Emas Tbk.  ,Indonesia,2016-05-02 00:00:00,Chittagong,Bangladesh,2016-05-16 00:00:00
Amazon,9004190,Fully Cellular Containership,12129,1991,Indonesia,P.T. Salam Pacific Indonesia Lines (SPIL) ,Indonesia,P.T. Salam Pacific Indonesia Lines (SPIL) ,P.T. Salam Pacific Indonesia Lines (SPIL) ,Indonesia,2016-11-10 00:00:00,Chittagong,Bangladesh,2016-12-09 00:00:00
Hijau Semangat,9141091,General Cargo With Container Capacity,7451,1997,Indonesia,P.T. Salam Pacific Indonesia Lines (SPIL) ,Indonesia,P.T. Salam Pacific Indonesia Lines (SPIL) ,P.T. Salam Pacific Indonesia Lines (SPIL) ,Indonesia,2016-10-27 00:00:00,Chittagong,Bangladesh,2016-11-27 00:00:00
Jelita Bangsa,8917821,Crude Oil Tanker,51647,1992,Indonesia,P.T. Trada International ,Indonesia,PT Trada Maritime Tbk ,PT Trada Shipping,Indonesia,2015-10-28 00:00:00,Gadani,Pakistan,2016-01-22 00:00:00
Lentera Bangsa,7925730,Floating Storage Tanker,67959,1983,Indonesia,P.T. Trada International ,Indonesia,PT Trada Maritime Tbk ,P.T. Trada Offshore Services ,Indonesia,2016-08-05 00:00:00,Gadani,Pakistan,2016-10-13 00:00:00
Victory Union,8028060,Bulk Carrier,35622,1983,Indonesia,PT Jaya Samudra Karunia Shipping ,Indonesia,PT Jaya Samudra Karunia Shipping ,PT Jaya Samudra Karunia Shipping ,Indonesia,2016-11-10 00:00:00,Chittagong,Bangladesh,2016-11-21 00:00:00
Musi River,8131178,General Cargo With Container Capacity,5014,1983,Indonesia,PT. Meratus Line ,Indonesia,PT. Meratus Line ,PT. Meratus Line ,Indonesia,2016-11-02 00:00:00,Alang,India,2016-11-11 00:00:00
Marina Star 3,8115617,Fully Cellular Containership,9909,1983,Indonesia,PT. Meratus Line  ,Indonesia,PT. Meratus Line  ,P.T. Meratus Tongkang Services  ,Indonesia,2016-06-10 00:00:00,Chittagong,Bangladesh,2016-06-26 00:00:00
