VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,NAME,OWNERSHIP,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,DESTINATION,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
ILVA,8862789,General Cargo Ship,2600,1195,1970,Togo,,,Ergene Shipping & Trading Company Limited,Turkey,Lionmargroup Denizcilik,Ascension Shipping & Trading,Marshall Islands,Aliaga,Turkey,2019-05-01 00:00:00,,
MIA,8418746,Bulk Carrier,17458,7077,1992,Panama,,,Gamma Denizcilik Nakliyat ve Dis Ticaret Limited Sirketi,Turkey,Gamma Denizcilik Nakliyat,Toros Shipping Ltd Corp,Panama,Aliaga,Turkey,2019-12-01 00:00:00,,
SERVET K,7819450,General Cargo Ship,1814,,1981,Turkey,,,Garanti Finansal Kiralama AS,Turkey,Adnil Denizcilik Ticaret Ltd,Garanti Finansal Kiralama AS,Turkey,Aliaga,Turkey,2019-07-01 00:00:00,,
HABAS,8208426,LPG Tanker,6529,4239,1984,Turkey,,,Habas Petrol Urunleri,Turkey,Habas Petrol Urunleri,Habas Petrol Urunleri,Turkey,Aliaga,Turkey,2019-04-01 00:00:00,,
COPAN,8515025,Bulk Carrier,10681,4482,1986,Belize,,,International Shipping Group,Turkey,Anmax Trading Corp Pte Ltd,Maya Land Shipping & Trading,Belize,Alang,India,2019-02-01 00:00:00,,
KILIC 1,8214346,Fish Carrier,1892,,1986,Turkey,,,Kilic Deniz Urunleri Uretimi,Turkey,Kilic Deniz Urunleri Uretimi,Kilic Deniz Urunleri Uretimi,Turkey,Aliaga,Turkey,2019-03-01 00:00:00,,
TK ROTTERDAM,9045613,General Cargo Ship,6036,3398,2001,Liberia,,,Kiran Holding AS,Turkey,Pasifik Gemi Isletmeciligi,Atlanta Oceanways Ltd,Liberia,Aliaga,Turkey,2019-07-01 00:00:00,,
KUZEY 1,7531785,General Cargo Ship,1993,,1977,Turkey,,,Lodos Denizcilik Uluslararasi,Turkey,Lodos Denizcilik Uluslararasi,Lodos Denizcilik Uluslararasi,Turkey,Aliaga,Turkey,2019-05-01 00:00:00,,
EGE M,8003852,General Cargo Ship,970,,1980,Turkey,,,Men Denizcilik Gemi Sanavi ve Ticaret Limited Sirketi,Turkey,Men Denizcilik Gemi Sanayi,Men Denizcilik Gemi Sanayi,Turkey,Aliaga,Turkey,2019-06-01 00:00:00,,
LARRY,9002544,Wood Chips Carrier,38716,9556,1991,Palau,Turkey,,Pasifik Lojistik Grubu,Turkey,Pasifik Lojistik Grubu,Yildiz Tarimsal Urunler,Turkey,Alang,India,2019-06-01 00:00:00,,
RIFKI NAIBOGLU II,8619833,General Cargo Ship,1246,,1987,Turkey,,,Rayben Denizcilik ve Ticaret,Turkey,Oba Denizcilik Petrol Insaat,Rayben Denizcilik ve Ticaret,Turkey,Unknown,Greece,2019-10-01 00:00:00,,
IRMAK,7514490,General Cargo Ship,1202,,1976,Unknown,,,Sahpet Shipping Co Ltd,Turkey,Sahpet Shipping Co Ltd,Sahpet Maritime Inc,Panama,Valletta,Malta,2019-10-01 00:00:00,,
MAXIM,8866319,General Cargo,3994,,1971,Belize,,,Black Sea Shipping Management,Ukraine,Kent Shipping & Chartering Ltd,Saluta Shipping Ltd,St Kitts & Nevis,Aliaga,Turkey,2019-03-01 00:00:00,,
SHINGLE,8036079,Fish Carrier,669,705,1982,Unknown,,,Marine Safety Management Limited,Ukraine,Belmont Capital Ltd,Belmont Capital Ltd,British Virgin Islands,,Uknown,2019-02-01 00:00:00,,
SLAVUTICH-18,8887856,General Cargo Ship,2500,,1992,Ukraine,,,Ukrrichflot JSC,Ukraine,Ukrrichflot JSC,Ukrrichflot JSC,Ukraine,Aliaga,Turkey,2019-08-01 00:00:00,,
BS-MARMARA-1,8328692,Tank Cleaning Vessel,1963,1060,1983,Turkey,,,Yuzhnyy Port,Ukraine,Yuzhnyy Port,Yuzhnyy Port,Ukraine,Aliaga,Turkey,2019-07-01 00:00:00,,
ABDALLAH,8112823,Supply Tender,1263,1164,1982,Palau,United Arab Emirates,,Abu Qurrah Shipping LLC.,United Arab Emirates,Elite Way Marine Services Est,Elite Way Marine Services Est,United Arab Emirates,Alang,India,2019-04-01 00:00:00,,
ANA,8307789,Bulk Carrier,24111,7623,1984,Panama,,Kuwait Ana,Al Khalejia Aggregates FZE,United Arab Emirates,Al Khalejia Aggregates FZE,Al Mulla Marine Ltd,Liberia,Gadani,Pakistan,2019-04-01 00:00:00,,
NURBANO 1,8008383,Products Tanker,2712,1846,1981,Panama,,,Al Taawon Shipping Co,United Arab Emirates,Al Taawon Shipping Co,Al Taawon Shipping Co,United Arab Emirates,Alang,India,2019-06-01 00:00:00,,
VH-29,8520989,Chemical/Products Tanker,6506,3437,1988,St Kitts & Nevis,Panama,,Alco Shipping Services LLC,United Arab Emirates,Thaimarine Tanker Co Ltd,Alco Shipping Services LLC,United Arab Emirates,Alang,India,2019-08-01 00:00:00,,
