VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,DESTINATION,Unnamed: 12,Unnamed: 13
El Omonia,9111955,Bulk Carrier,38859,1996,Kiribati ,The Angelicoussis Group  ,Greece,Anangel Maritime Services Incorporated  ,Baffin Sea Maritime Incorporated  ,Greece,Gadani,Pakistan,2015-05-08 00:00:00
Matrix,9102942,Bulk Carrier,79542,1996,Marshall Islands ,The Frangos-Moundreas Group,Greece,NGM Energy S.A.  ,Material Shipholding Incorporated,Marshall Islands,Chittagong,Bangladesh,2015-06-08 00:00:00
NGM Sailor,9122100,Bulk Carrier,85706,1996,Liberia ,The Frangos-Moundreas Group  ,Greece,NGM Energy S.A.  ,Nolana Navigation Corporation  ,Liberia,Chittagong,Bangladesh,2015-05-20 00:00:00
Nairobi,9064786,Fully Cellular Containership,28892,1995,Malta,The Libra Group ,United Kingdom,Lomar Shipping Limited ,Allocean Charters Private Limited ,UK,Alang,India,2015-01-08 00:00:00
Western Triumph,9030761,Bulk Ore Carrier,2768,1992,Papua New Guinea ,The Peninsular and Oriental Steam Navigation Company,United Kingdom,The Peninsular and Oriental Steam Navigation Company,P & O Maritime Services (PNG) Limited,Papua New Guinea,Chittagong,Bangladesh,2015-04-05 00:00:00
Western Zenith,9071492,Bulk Carrier,2768,1993,Papua New Guinea ,The Peninsular and Oriental Steam Navigation Company,United Kingdom,The Peninsular and Oriental Steam Navigation Company,P & O Maritime Services (PNG) Limited,Papua New Guinea,Chittagong,Bangladesh,2015-05-14 00:00:00
Vitality,9126778,Bulk Carrier,85711,1996,Niue,The Tung Group of Companies ,Hong Kong,Bao-Island Enterprises Limited ,Bernando Company Limited ,Hong Kong,Chittagong,Bangladesh,2015-11-22 00:00:00
Navigator,9126780,Bulk Carrier,85711,1997,Niue,The Tung Group of Companies ,Hong Kong,Bao-Island Enterprises Limited ,Margot Company Limited ,Hong Kong,Chittagong,Bangladesh,2015-11-30 00:00:00
Eva,8517994,Bulk Carrier,24236,1987,Malta ,Theodorides Group of Companies,Greece,Vulcanus Technical Maritime Enterprises S.A.,Sea Bay Shipping Limited,Malta,Alang,India,2015-05-07 00:00:00
Tian Sheng,8203593,Fully Cellular Containership,10544,1983,China ,Tianjin Marine Shipping Company Limited,China,Tianjin Marine Shipping Company Limited,Zhuhai Beiyang Shipping Company Limited,China,Unknown,China,2011-03-10 00:00:00
Yong Xu Hai ,8715302,Bulk Carrier,36120,1988,China ,Tianjin Younysun Shipping Group Company ,China,Tianjin Younysun Shipping Group Company ,Tianjin Younysun Shipping Group Company ,China,Xinhui,China,2015-06-28 00:00:00
Ismael Mehieddine,7616171,General Cargo With Container Capacity,6883,1976,Comoros ,Tomeh Shipping Company,Lebanon,Tomeh Shipping Company,Cedar Tree Company Limited ,Lebanon,Gadani,Pakistan,2015-05-02 00:00:00
Master Ismail,8202056,Bulk Carrier,15282,1982,Cook Islands ,Tomeh Shipping Company ,Lebanon,Tomeh Shipping Company ,Master Ismail Shipping Limited,Liberia,Gadani,Pakistan,2015-07-31 00:00:00
Marine 1,9039559,Roll On Roll Off,8308,1992,Togo ,Toyofuji Shipping Company Limited,Japan,Toyofuji Shipping Company Limited,Toyofuji Shipping Company Limited,Japan,Chittagong,Bangladesh,2015-09-01 00:00:00
Sera,8921793,Roll on Roll Off,5411,1991,Comoros ,Toyofuji Shipping Company Limited ,Japan,P.T. Toyofuji Serasi Indonesia (TFSI) ,P.T. Toyofuji Serasi Indonesia (TFSI) ,Indonesia,Chittagong,Bangladesh,2015-12-22 00:00:00
Bright,8118669,Bulk carrier,6694,1981,Cambodia,Trans Line Company Limited ,Russia,Trans Line Company Limited ,Golden Marine Limited ,Panama,Chittagong,Bangladesh,2015-01-15 00:00:00
Wizard,8510104,General Cargo,5545,1985,Cambodia,Trans Line Company Limited ,Russia,Trans Line Company Limited ,Atlas Pacific Shipping Company Limited ,Panama,Alang,India,2015-03-10 00:00:00
Progress,8400983,Bulk carrier,25169,1987,Palau,Trans Ocean Lines Limited ,Bangladesh,Trans Ocean Lines Limited ,Trans Ocean Ship Management Limited ,Bangladesh,Gadani,Pakistan,2015-01-09 00:00:00
Capricornio Gas,8011043,Liquid Petroleum Gas Carrier,3651,1980,Peru ,Transgas Shipping Lines SAC,Peru,Transgas Shipping Lines SAC,Transportadora de Hidrocarburos del Peru SAC  ,Peru,Santo Dominguo,Dominican Republic,2015-03-05 00:00:00
Sedco 710,8755182,Drill Platform,16386,1983,Liberia ,Transocean Incorporated,United States of America,Transocean Offshore Deepwater Drilling Incorporated  ,Transocean Drilling Offshore S.a.r.l.,Marshall Islands,Aliaga,Turkey,2015-06-24 00:00:00
GSF Arctic III,8751332,Drill Platform,14488,1980,Vanuatu ,Transocean Incorporated,United States of America,Transocean Offshore Deepwater Drilling Incorporated  ,Caledonia Offshore Drilling Services Limited,Vanuatu,Aliaga,Turkey,2015-07-27 00:00:00
J.W.McLean,8756318,Drill Platform,15453,1974,Marshall Islands ,Transocean Incorporated ,United States of America,Transocean Offshore Deepwater Drilling Incorporated ,,India,Aliaga,Turkey,2015-09-22 00:00:00
Transocean Amirante,8752582,Drill Platform,14648,1978,Vanuatu ,Transocean Incorporated ,United States of America,Transocean Onshore Support Services Limited ,Transocean Amirante Limited ,Cayman Islands,Aliaga,Turkey,2015-11-17 00:00:00
GSF Celtic Sea,8758067,Semi-sub Pontoon,28440,1982,Vanuatu ,Transocean Incorporated ,United States of America,Transocean Offshore Deepwater Drilling Incorporated ,Transocean Rig Services Offshore LLC ,United States of America,Aliaga,Turkey,2015-12-07 00:00:00
Maria Star,9080182,Bulk Carrier,25190,1995,Liberia ,Tsakos Shipping and Trading S.A. ,Greece,Tsakos Energy Navigation Limited (TEN),Putnam Shipping Corporation ,Liberia,Alang,India,2015-09-30 00:00:00
Hanji,9015539,Fully Cellular Containership,51754,1992,Comoros ,Tsakos Shipping and Trading S.A.  ,Greece,Tsakos Shipping and Trading S.A.  ,Euroreserve S.A.,Panama,Alang,India,2015-05-05 00:00:00
Cape Cathay,9043603,Bulk Carrier,77132,1993,Singapore,U-Ming Marine Transport Corporation ,Taiwan,U-Ming Marine Transport Corporation ,U-Ming Marine Transport Corporation ,Taiwan,Alang,India,2015-12-02 00:00:00
Mary,8307193,Bulk carrier,22361,1984,Sierra Leone,Unimed Navigation S.A. ,Greece,Unimed Navigation S.A. ,Mary K Shipping Company S.A. ,Romania,Alang,India,2015-02-22 00:00:00
Autoracer,9079200,Vehicle Carrier,9693,1994,Madeira ,United European Car Carriers AS  ,Norway,United European Car Carriers AS  ,United European Car Carriers (IOM) Limited ,Isle of Man,Grenaa,Denmark,2015-09-16 00:00:00
Al Wakrah,8307818,Bulk Carrier,23186,1984,Moldova ,United Group Enterprises,Egypt,United Group Enterprises,United Group Enterprises WLL  ,Qatar,Gadani,Pakistan,2015-01-16 00:00:00
Aman Trader,8906535,Bulk Carrier,28164,1990,St. Kitts-Nevis ,Universal Shipmanagement Corporation ,Greece,Universal Shipmanagement Corporation ,Ionian Marine Corporation,Marshall Islands,Chittagong,Bangladesh,2015-06-28 00:00:00
Hua Hui,8007224,Product Tanker,17277,1985,Panama ,Unknown owners,Unknown,Unknown owners,Hua Xiang Shipping Company Limited,Hong Kong,Chittagong,Bangladesh,2015-01-30 00:00:00
Chios Sunrise,9045584,Bulk Carrier,38891,1993,Bahamas ,Unknown owners,Unknown,Unknown owners,Charisma Shipmanagement S.A.,Marshall Islands,Chittagong,Bangladesh,2015-03-08 00:00:00
New Hope Star,8512932,Bulk Carrier,15834,1987,Panama ,Unknown owners,Unknown,Unknown owners,New Hope Star Company Limited,Marshall Islands,Chittagong,Bangladesh,2015-04-23 00:00:00
Eternity,8701480,Bulk Carrier,21399,1989,Liberia ,Unknown owners,Unknown,Unknown owners,Transbulk Shipping S.A.,Liberia,Chittagong,Bangladesh,2015-05-18 00:00:00
Ancona,9110511,Bulk Carrier,39283,1995,Liberia ,Unknown owners,Unknown,Unknown owners,Ancona Shipholding Limited,Liberia,Chittagong,Bangladesh,2015-06-27 00:00:00
Zheneng 6,9087192,Bulk Carrier,38138,1995,Sierra Leone ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Chittagong,Bangladesh,2015-08-31 00:00:00
E. Karakaya,8502078,General Cargo With Container Capacity,6395,1998,Sierra Leone ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Ghent,Belgium,2015-06-24 00:00:00
Ju Sheng Xing,7433397,Bulk Carrier,23768,1978,China ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Unknown,China,2014-12-31 00:00:00
Ju Fu Xing,7374010,Bulk Carrier,35252,1975,China ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Xinhui,China,2015-05-11 00:00:00
Ju Jin Yuan,7927752,Bulk Carrier,23525,1984,China ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Xinhui,China,2015-05-05 00:00:00
Winner,8130734,Bulk Carrier,23646,1983,Palau ,Unknown owners,Unknown,Unknown owners,Sun Winner Marine Limited Corporation,Panama,Alang,India,2015-05-17 00:00:00
Sea Pride,8810188,Liquid Petroleum Gas Carrier,7949,1991,Panama ,Unknown owners,Unknown,Unknown owners,Sea Star Enterprises SA,United Arab Emirates,Alang,India,2015-05-21 00:00:00
Barracuda II,7639006,Tug,716,1977,St. Kitts-Nevis ,Unknown owners,Unknown,Unknown owners,Morrito Maritime Incorporated,St. Kitts-Nevis,Mumbai,India,2015-05-26 00:00:00
Mino G.,7725697,Bulk Carrier,11676,1979,Cambodia ,Unknown owners,Unknown,Unknown owners,Sireen Shipping Company SA,Syria,Alang,India,2015-06-02 00:00:00
Eva II,8212960,Product Tanker,26309,1988,St. Kitts-Nevis ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Alang,India,2015-04-29 00:00:00
Sabino,7725673,Bulk Carrier,11676,1979,Cambodia ,Unknown owners,Unknown,Unknown owners,Jinard Shipping Company S.A.,Honduras,Alang,India,2015-07-03 00:00:00
Cheng,8115332,General Cargo With Container Capacity,14160,1983,St. Vincent & Grenadines ,Unknown owners,Unknown,Unknown owners,Shipping Navigation Limited,Seychelles,Alang,India,2015-07-29 00:00:00
Lina Y.,8029246,Bulk Carrier,,1982,Togo ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Alang,India,2015-08-26 00:00:00
Vow,8108793,Fully Cellular Containership,19915,1983,St. Kitts-Nevis ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Alang,India,2015-09-14 00:00:00
Glory Morning,8416164,Bulk Carrier,13036,1986,Panama ,Unknown owners,Unknown,Unknown owners,Gold Zone Shipping Limited ,Hong Kong,Alang,India,2015-10-10 00:00:00
Trustworthy ,7713876,Bulk Carrier,10704,1978,Cambodia,Unknown owners,Unknown,Unknown owners,Realistic Stand Shipping S.A. ,Panama,Alang,India,2015-12-04 00:00:00
SC Sunny,8601446,General Cargo With Container Capacity,12301,1986,Panama,Unknown owners,Unknown,Unknown owners,Ever Sunny Shipping Limited ,British Virgin Islands,Alang,India,2015-12-31 00:00:00
Bulk Cajun,8200450,Bulk Carrier,36958,1984,Panama ,Unknown owners,Unknown,Unknown owners,Bulk Cajun (Bermuda) Limited  ,Bermuda,Gadani,Pakistan,2015-03-02 00:00:00
Great Inc,8128195,Chemical Tanker,14849,1984,Tanzania ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Gadani,Pakistan,2015-06-04 00:00:00
Ambar,8301814,Product Tanker,19290,1993,Tanzania ,Unknown owners,Unknown,Unknown owners,Alfa Ship Trading LLC,Tanzania,Gadani,Pakistan,2015-07-31 00:00:00
Rand,7713266,General Cargo With Container Capacity,4415,1979,Togo ,Unknown owners,Unknown,Unknown owners,Rama Shipping S.A.,Honduras,Aliaga,Turkey,2015-03-21 00:00:00
Moda,7932642,General Cargo With Container Capacity,997,1979,Comoros ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,2015-02-19 00:00:00
Toimene,8001567,Product Tanker,17233,1982,Tanzania ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,2014-12-18 00:00:00
Rexton,7431715,General Cargo With Container Capacity,2240,1975,Sierra Leone ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,2015-08-16 00:00:00
Bell,7609752,General Cargo With Container Capacity,14038,1979,St. Vincent & Grenadines ,Unknown owners,Unknown,Unknown owners,Aquamarine Shipping Limited,Saint Vincent and the Grenadines,Aliaga,Turkey,2015-07-09 00:00:00
Adamar,7614628,General Cargo With Container Capacity,1590,1978,Cook Islands ,Unknown owners,Unknown,Unknown owners,Unknown owners,Unknown,Aliaga,Turkey,2015-10-07 00:00:00
Ussuri,7395959,Fish Factory,3728,1975,Russia ,Ussuri Company Limited,Russia,Ussuri Company Limited,Ussuri Company Limited,Russia,Chittagong,Bangladesh,2015-04-23 00:00:00
Proliv Starka,7365241,Fish Factory,3918,1976,Russia ,Ussuri Company Limited,Russia,Ussuri Company Limited,Ussuri Company Limited,Russia,Chittagong,Bangladesh,2015-06-10 00:00:00
Gas Kaizen,8818817,Liquid Petroleum Gas Carrier,4691,1991,Marshall Islands ,Vafias Group,Greece,StealthGas Incorporated  ,Geneve Butane Incorporated  ,Marshall Islands,Chittagong,Bangladesh,2015-03-29 00:00:00
Gas Crystal,8913215,Liquid Petroleum Gas Carrier,3888,1990,Malta ,Vafias Group,Greece,StealthGas Incorporated  ,Iceland Limited,Singapore,Alang,India,2015-04-17 00:00:00
Sunway B.,7925027,Tanker (Unspecified),9751,1980,Panama ,Val Oil Trading S.A.  ,Greece,Val Oil Trading S.A.  ,Sunway Navigation S.A.,Panama,Chittagong,Bangladesh,2015-02-17 00:00:00
Ore Tubarao,8323238,Bulk Ore Carrier,101222,1985,Liberia ,Vale SA (formerly Companhia Vale do Rio Doce)  ,Brazil,Seamar Shipping Corporation  ,Seamar Shipping Corporation  ,Liberia,Chittagong,Bangladesh,2015-03-21 00:00:00
Ore Mutuca,8906688,Bulk Carrier,77096,1990,Liberia ,Vale SA (formerly Companhia Vale do Rio Doce)  ,Brazil,Seamar Shipping Corporation  ,Seamar Shipping Corporation  ,Liberia,Gadani,Pakistan,2015-05-21 00:00:00
Ore Alegria,9135690,Bulk Carrier,81329,1997,Singapore ,Vale SA (formerly Companhia Vale do Rio Doce)  ,Brazil,Vale SA (formerly Companhia Vale do Rio Doce)  ,Vale Shipping Holding Private Limited  ,Singapore,Gadani,Pakistan,2015-08-27 00:00:00
Frans,7331783,Dredger,1340,1973,Netherlands ,Van Oord N.V.,Netherlands,Van Oord N.V.,Van Oord Overig Materieel I B.V.  ,Netherlands,Aliaga,Turkey,2015-06-19 00:00:00
Volvox Iberia,9055541,Hopper Dredger,5365,1993,Netherlands ,Van Oord N.V. ,Netherlands,Van Oord N.V. ,Sleephopperzuigers I B.V,Netherlands,Aliaga,Turkey,2015-10-15 00:00:00
HAM 1406,9156333,Work Ship,217,1997,Netherlands ,Van Oord N.V.  ,Netherlands,Van Oord N.V.  ,Van Oord Overig Materieel I B.V.  ,Netherlands,Aliaga,Turkey,2015-04-30 00:00:00
Earl,8314902,General Cargo With Container Capacity,14348,1987,St. Vincent & Grenadines ,Varna Shipping & Trading Limited,Bulgaria,Varna Shipping & Trading Limited,Pearl K. Shipping Company Limited,Saint Vincent and the Grenadines,Aliaga,Turkey,2015-07-15 00:00:00
