VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,FLAG,OWNERSHIP,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,DESTINATION,Unnamed: 12,Unnamed: 13
NAME,IMO#,TYPE,GT,BUILT,FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL 
Butler Favour,8409379,Tug/Supply,3949,1986,Nigeria ,A.G. Butler Nigeria Limited,Nigeria,A.G. Butler Nigeria Limited,A.G. Butler Nigeria Limited,Nigeria,Alang,India,2015-08-01 00:00:00
Melchior,9100102,Bulk Carrier,38891,1995,Marshall Islands ,A.M. Nomikos Transworld Maritime Agencies S.A.,Greece,A.M. Nomikos Transworld Maritime Agencies S.A.,Melchior Navigation Incorporated  ,Marshall Islands,Chittagong,Bangladesh,2015-05-18 00:00:00
LTC John U.D.Page,8212714,Fully Cellular Containership,57075,1985,United States of America,A.P. Moller-Maersk Group,Denmark,Maersk Line Limited  ,Maersk Line Limited,United States of America,Aliaga,Turkey,2015-03-27 00:00:00
Maersk Mariner,8409381,Fire Fighting Tug/Supply,3949,1986,Isle of Man ,A.P. Moller-Maersk Group ,Denmark,Maersk Supply Service A/S  ,Maersk Supply Service UK Limited,United Kingdom,Aliaga,Turkey,2015-01-12 00:00:00
Tamim,8202044,Bulk Carrier,15185,1982,Sudan ,Abu Qurrah Oil Well Maintenance Establishment,United Arab Emirates,Abu Qurrah Oil Well Maintenance Establishment,Abu Qurrah Oil Well Maintenance Establishment,United Arab Emirates,Gadani,Pakistan,2015-06-02 00:00:00
Elduga,7533393,Vehicle Carrier,5927,1977,Cambodia ,Acrex Corporation,Russia,Acrex Corporation,Inderton Limited S.A.  ,Panama,Chittagong,Bangladesh,2015-02-08 00:00:00
Kema,8506579,Roll On Roll Off,6318,1985,Cambodia ,Acrex Corporation,Russia,Acrex Corporation,Inderton Limited S.A.,Panama,Chittagong,Bangladesh,2015-02-23 00:00:00
ACS 8,8400268,Product Tanker,2970,1985,Thailand ,ACS Marine Company Limited,Thailand,ACS Marine Company Limited,ACS Marine Company Limited,Thailand,Chittagong,Bangladesh,2015-01-26 00:00:00
Zeynep Dundar,8616582,General Cargo With Container Capacity,1829,1987,Panama,Act Denizcilik Tasimaciligi Sanayi ve Ticaret Limited Sirketi ,Turkey,Act Denizcilik Tasimaciligi Sanayi ve Ticaret Limited Sirketi ,Mediterranean Logistics Corporation ,Turkey,Aliaga,Turkey,2015-12-07 00:00:00
Natzutec,7925895,Bulk Carrier,17679,1981,Hong Kong ,Adani Shipping (China) Company Limited,China,Adani Shipping (China) Company Limited,Natzutec Maritime Limited,Hong Kong,Chittagong,Bangladesh,2015-08-17 00:00:00
Amsir,8705761,Bulk Carrier,36554,1988,Bangladesh ,AK Ship Management & Services (Private) Limited,Bangladesh,AK Ship Management & Services (Private) Limited,Abul Khair Shipping Lines,Bangladesh,Chittagong,Bangladesh,2015-08-13 00:00:00
Marsi,8126630,Bulk Carrier,25935,1984,Panama ,AK Ship Management & Services (Private) Limited,Bangladesh,AK Ship Management & Services (Private) Limited,Sarim Shipping Limited,Hong Kong,Chittagong,Bangladesh,2015-08-28 00:00:00
Ramsi,8016990,Bulk Carrier,22182,1982,St. Vincent & Grenadines ,AK Ship Management & Services (Private) Limited ,Bangladesh,AK Ship Management & Services (Private) Limited ,Alpha Vanguard International Limited ,Singapore,Chittagong,Bangladesh,2015-09-23 00:00:00
Hatice Akar,7433335,Bulk Carrier,9780,1980,Panama,Akar Deniz Tasimaciligi ve Ticaret Limited Sirketi ,Turkey,Akar Deniz Tasimaciligi ve Ticaret Limited Sirketi ,Ena Shipping & Trading Corporation ,Panama,Alang,India,2015-01-29 00:00:00
Revana 1,8405323,Product Tanker,1332,1984,Tanzania ,Al Rafedain Marine Services Company Limited ,United Arab Emirates,Al Rafedain Marine Services Company Limited ,Sumida Shipping & Trading Incorporated ,Panama,Gadani,Pakistan,2015-10-20 00:00:00
HSS Discovery,9107590,Passenger Ro/Ro,19638,1997,Venezuela ,Albamar C.A. ,Venezuela,Albamar C.A. ,Albamar C.A. ,Venezuela,Aliaga,Turkey,2015-07-27 00:00:00
Nelvana,8105492,Bulk Carrier,44340,1983,Bermuda ,Algoma Central Corporation,Canada,Algoma Central Corporation,Marbulk Canada Incorporated,United States of America,Aliaga,Turkey,2015-04-28 00:00:00
Mont,5241142,Bulk Carrier,17647,1962,St. Kitts-Nevis ,Algoma Central Corporation,Canada,Algoma Central Corporation,Algoma Central Corporation,Canada,Aliaga,Turkey,2015-07-10 00:00:00
Zenit,9127813,Fully Cellular Containership,21199,1998,Marshall Islands,Alpha Ship GmbH & Company KG ,Germany,Alpha Shipmanagement GmbH & Company KG ,Alpha Ship GmbH & Company KG ms Zenit ,Germany,Chittagong,Bangladesh,2015-12-21 00:00:00
Liberty,8320779,Vehicle Carrier,51858,1985,Marshall Islands ,American Roll-On Roll-Off Carrier LLC  ,United States of America,American Roll-On Roll-Off Carrier LLC  ,Fidelio Limited Partnership Incorporated,United States of America,Jiangyin,China,2015-06-04 00:00:00
Dominator,7826491,General Cargo With Container Capacity,9641,1981,Togo ,Ancora Maritime Incorporated,Greece,Ancora Maritime Incorporated,Atlantic RTI AS,Norway,Aliaga,Turkey,2015-07-01 00:00:00
Antares,7404396,Fishing,2160,1985,Cambodia,AO Nakhodka Active Marine Fishery Base ,Russia,AO Nakhodka Active Marine Fishery Base ,AO Nakhodka Active Marine Fishery Base ,Russia,Alang,India,2015-04-04 00:00:00
Silva,8614467,Tanker,44322,1988,Tanzania,AR Shipping (HK) Limited ,Hong Kong,AR Shipping (HK) Limited ,AR Shipping (HK) Limited ,Hong Kong,Alang,India,2015-01-09 00:00:00
Princess Maria,8212087,Bulk Carrier,17313,1986,Panama,Arados Shipping Company S.r.l. ,Romania,Arados Shipping Company S.r.l. ,Maria Maritime Services Incorporated ,Panama,Gadani,Pakistan,2015-09-09 00:00:00
Arca Emerald,8319689,Vehicle Carrier,37996,1984,Panama,Arca Mega Maritime Sendirian Berhad ,Malaysia,Arca Mega Maritime Sendirian Berhad ,Arca Mega Maritime Sendirian Berhad ,Malaysia,Chittagong,Bangladesh,2015-10-14 00:00:00
Konstantinos A.,9104122,Bulk Carrier,38131,1995,Greece ,Arcadia Shipmanagement Company Limited,Greece,Aegean Bulk Company Incorporated  ,Sea Island Shipping Corporation,Liberia,Gadani,Pakistan,2015-04-16 00:00:00
Umang,8306826,Bulk Carrier With Container Capacity,25063,1984,Liberia ,ArcelorMittal Shipping Limited,United Kingdom,ArcelorMittal Shipping Limited,Umang Shipping Services Limited  ,United Kingdom,Gadani,Pakistan,2015-03-20 00:00:00
China Star,8806814,Fully Cellular Containership,37209,1990,Liberia ,Ares Navigation Incorporated  ,Liberia,Ares Navigation Incorporated  ,Ares Navigation Incorporated  ,Liberia,Alang,India,2015-09-28 00:00:00
Voyager,8421341,Bulk Carrier,19864,1985,Malta ,Aroania Maritime SA,Greece,Aroania Maritime SA,Albatross Navigation Company Limited  ,Malta,Chittagong,Bangladesh,2015-01-19 00:00:00
Chrissoula S.,7717224,General Cargo With Container Capacity,1279,1978,Greece ,Artemon NE,Greece,Artemon NE,Artemon NE,Greece,Aliaga,Turkey,2015-01-19 00:00:00
Dawn Meerut,9073737,Product Tanker,20378,1995,India ,Arya Group ,India,Arya Group ,MP Recycling Company Private Limited,India,Gadani,Pakistan,2015-05-06 00:00:00
Blossom,8407931,Fruit Juice Tanker,9984,1985,Palau ,Atlanship S.A.,Switzerland,Atlanship S.A.,Atlantic Reefer Corporation Incorporated,Liberia,Alang,India,2015-06-20 00:00:00
Ocean Swift,5288396,Offshore Safety,579,1957,United Kingdom,Atlantic Offshore Rescue Limited,United Kingdom,Atlantic Offshore Rescue Limited,Atlantic Offshore Rescue Limited,United Kingdom,Esbjerg,Denmark ,2015-04-17 00:00:00
Atwood Hunter,8750900,Drill Platform,11627,1981,Marshall Islands ,Atwood Oceanics Management Incorporated,United States of America,Atwood Oceanics Management Incorporated,Alpha Hunter Company,Marshall Islands,Aliaga,Turkey,2015-08-20 00:00:00
Southern Champion,7351147,Trawler,2203,1974,Australia,Austral Fisheries Proprietary Limited ,Australia,Austral Fisheries Proprietary Limited ,Austral Fisheries Proprietary Limited ,Australia,Alang,India,2015-01-11 00:00:00
Burak A.,7900297,Roll On Roll Off With Container Capacity,4568,1982,Turkey ,Azak Denizcilik Sanayi ve Ticaret Limited Sirketi,Turkey,Azak Denizcilik Sanayi ve Ticaret Limited Sirketi,Azak Denizcilik Sanayi ve Ticaret Limited Sirketi,Turkey,Aliaga,Turkey,2015-06-18 00:00:00
Hudson,7361697,Chemical Tanker,2207,1975,Cook Islands ,Azov Trans Terminal Limited,Russia,Azov Trans Terminal Limited,Volgo-Don Shipping Agency Limited,Russia,Aliaga,Turkey,2015-02-02 00:00:00
Prosperity,9086083,Bulk Carrier,81058,1995,Liberia ,Bacolitsas Group,Greece,Sea Pioneer Shipping Corporation  ,Humility Shipping Incorporated,Liberia,Gadani,Pakistan,2015-05-06 00:00:00
Atlantic Nyala,8811699,Roll On Roll Off With Container Capacity,16075,1990,Malta ,Baltic Mercur Joint Stock Company,Russia,Baltic Mercur Joint Stock Company,Atlantic Dream Navigation,Malta,Chittagong,Bangladesh,2015-07-06 00:00:00
Atlantic Eland,8811716,General Cargo,16075,1990,Malta,Baltic Mercur Joint Stock Company ,Russia,Baltic Mercur Joint Stock Company ,Atlantic Libra Nav. Limited ,Malta,Alang,India,2015-01-30 00:00:00
Bashundhara 1,8316211,Bulk Carrier,27527,1985,Bangladesh ,Bashundhara Group,Bangladesh,Bashundhara Logistics Limited  ,East West Property Development (Private) Limited  ,Bangladesh,Chittagong,Bangladesh,2015-06-06 00:00:00
Bashundhara 3,8308898,Bulk Carrier,22531,1985,Bangladesh ,Bashundhara Group ,Bangladesh,Bashundhara Logistics Limited ,East West Property Development (Private) Limited ,Bangladesh,Chittagong,Bangladesh,2015-12-29 00:00:00
Fei Yu,8704949,Ferry,425,1988,China ,Beibu Gulf Tourism Company Limited,China,Beibu Gulf Tourism Company Limited,Beibu Gulf Tourism Company Limited,China,Unknown,China,2013-09-29 00:00:00
East Med Gas,8409630,Gas Carrier,6867,1985,Panama,Benelux Overseas Incorporated ,Greece,Benelux Overseas Incorporated ,Selva Marine S.A. ,Liberia,Alang,India,2015-02-08 00:00:00
2car,9122095,Bulk Carrier,85706,1996,St. Kitts-Nevis ,Bereederungsgesellschaft H.Vogemann GmbH & Company KG ,Germany,Bereederungsgesellschaft H.Vogemann GmbH & Company KG ,Gamma Bulk Incorporated,Liberia,Gadani,Pakistan,2015-05-21 00:00:00
Berge Vik,8314483,Bulk Ore Carrier,159534,1987,Panama ,Berge Bulk Limited,Bermuda,Berge Bulk (Norway) AS ,Berge Vik Company S.A.,Panama,Gadani,Pakistan,2015-05-13 00:00:00
Berge Prosperity,9115705,Bulk Carrier,108083,1996,Isle of Man ,Berge Bulk Limited,Bermuda,Berge Bulk (Norway) AS  ,SG Prosperity Company S.A.  ,Bahamas,Gadani,Pakistan,2015-05-20 00:00:00
Seagas General,8129814,Liquid Petroleum Gas Carrier,4605,1982,Cyprus ,Bernhard Schulte Group of Companies,Germany,Bernhard Schulte Shipmanagement (Cyprus) Company Limited  ,KJP Seagas General Limited,Cyprus,Alang,India,2015-06-09 00:00:00
Gofer B.,8111283,General Cargo With Container Capacity,3081,1983,Panama ,Beserler Denizcilik A.S.  ,Turkey,Beserler Denizcilik A.S.  ,Gofer Shipping Incorporated,Panama,Aliaga,Turkey,2015-08-19 00:00:00
Melek B.,8213706,General Cargo With Container Capacity,4921,1983,Panama ,Beserler Denizcilik A.S.  ,Turkey,Beserler Denizcilik A.S.  ,Glamour Shipping Limited,Malta,Aliaga,Turkey,2015-09-14 00:00:00
Golden Line 8,8105430,General Cargo,3985,1982,Panama ,Best Line International Shipping Company Limited,Hong Kong,Best Line International Shipping Company Limited,Best Line International Shipping Company Limited,Hong Kong,Unknown,China,2014-04-30 00:00:00
Umay,8402864,Bulk Carrier,14201,1986,Cook Islands ,Beyaz Deniz Tasimaciligi ve Ticaret Limited Sirketi,Turkey,Beyaz Deniz Tasimaciligi ve Ticaret Limited Sirketi,Umay Sea Services Limited,Cook Islands,Alang,India,2015-09-03 00:00:00
Gurasis,9129574,Bulk Carrier,39385,1997,St. Kitts-Nevis ,Bhatia International Limited,Singapore,Ishhar Overseas FZE  ,Guru Corporation Limited  ,Marshall Islands,Gadani,Pakistan,2015-04-07 00:00:00
Citrawati,9001186,Bulk Carrier,35921,1990,Indonesia ,Bina Surya Group,Indonesia,"Arpeni Pratama Ocean Line, P.T. Perusahaan Pelayaran Samudera Khusus (APOL)  ",PT Apol Bahtera,Indonesia,Chittagong,Bangladesh,2015-05-19 00:00:00
Lokta,7325679,Roll On Roll Off,694,1973,Norway ,Boreal Transport Nord AS  ,Norway,Boreal Transport Nord AS  ,Boreal Transport Nord AS  ,Norway,Fosen,Norway,2015-06-30 00:00:00
Lia,8400933,Product Tanker,18253,1985,Togo ,Bratina Corporation Limited,British Virgin Islands,Caroil Transport Marine Limited  ,Punctual Investments Village Limited,British Virgin Islands,Chittagong,Bangladesh,2015-04-26 00:00:00
Maa Samuda Khatun,8419582,Bulk Carrier,24615,1987,Bangladesh ,Brave Royal Shipping Limited,Bangladesh,Brave Royal Ship Management Limited  ,S.R. Shipping Limited,Bangladesh,Chittagong,Bangladesh,2015-02-18 00:00:00
Jahan Moni,9102954,Bulk Carrier,25600,1996,Bangladesh ,Brave Royal Shipping Limited ,Bangladesh,Brave Royal Ship Management Limited ,Khadiza Shipping Bangladesh Private Limited ,Bangladesh,Chittagong,Bangladesh,2015-12-28 00:00:00
Green Field 1,8504870,Combined Chemical And Oil Tanker,23578,1988,Panama ,Bulk Shipping Lines Pvt Limited  ,Bangladesh,Bulk Shipping Lines Pvt Limited  ,Green Field Shipping Limited,Panama,Chittagong,Bangladesh,2015-02-16 00:00:00
Bulkwayuu,8326462,Storage Barge,39328,1977,Venezuela ,Bulkguasare de Venezuela S.A.,Venezuela,Bulkguasare de Venezuela S.A.,Bulkguasare de Venezuela S.A.,Venezuela,Aliaga,Turkey,2015-04-06 00:00:00
Kelvin,6826236,General Cargo,575,1968,Norway ,Byrding AS  ,Norway,Byrding AS  ,Kvernhusvik Skipsverft AS,Norway,Fosen,Norway,2015-02-24 00:00:00
Syn Markab,9003067,Liquid Petroleum Gas Carrier,3983,1992,Italy ,Cafiero Mattioli Group (CA.FI.MA.),Italy,SynerGas SrL,SynerGas SrL,Italy,Alang,India,2015-09-15 00:00:00
Ribbon,9163295,Bulk Carrier,38864,1998,Malta,Cafiero Mattioli Group (CA.FI.MA.) ,Italy,Augustea Atlantica S.p.A. ,Augustea Med Limited ,Malta,Chittagong,Bangladesh,2015-12-26 00:00:00
Dildar,8820901,Product Tanker,18625,1990,Sierra Leone ,Calmsea Ship Management Limited,Turkey,Calmsea Ship Management Limited,Dildar Shipping Incorporated,Liberia,Gadani,Pakistan,2015-02-06 00:00:00
Ocean Ruby,7909308,Tug/Supply,721,1980,India ,Can Offshore Private Limited,India,Can Offshore Private Limited,Can Offshore Private Limited,India,Mumbai,India,2015-07-15 00:00:00
Celebration,7904891,Passenger Ro/Ro,35855,1981,St. Kitts-Nevis,Celebration World Cruises Incorporated ,United States of America,Celebration World Cruises Incorporated ,Celebration Cruise Holding Incorporated ,Bahamas,Alang,India,2015-10-29 00:00:00
Arctic Ocean,8902450,Bulk Carrier,24606,1990,Panama,Ceren Denizcilik Sanayi Limited Sirketi ,Turkey,Ceren Denizcilik Sanayi Limited Sirketi ,Arctic Ocean Shipping S.A. ,Marshall Islands,Alang,India,2015-12-28 00:00:00
Dunfeng Manila,9046344,Bulk Carrier,80044,1994,Panama,Chang An Ship Holdings Corporation ,China,Chang An Ship Management Limited ,Lingjiang International Shipping Limited ,Hong Kong,Gadani,Pakistan,2015-09-29 00:00:00
C. Summit,9108623,Bulk Carrier,77274,1995,South Korea,Chang Myung Shipping Company Limited ,South Korea,Chang Myung Shipping Company Limited ,Chang Myung Shipping Company Limited ,South Korea,Chittagong,Bangladesh,2015-11-25 00:00:00
Winterfell,7002461,General Cargo With Container Capacity,1217,1969,Togo ,Charlesfort Oceanways S.A.,Ukraine,Charlesfort Oceanways S.A.,Charlesfort Oceanways S.A.,Ukraine,Aliaga,Turkey,2015-01-05 00:00:00
Sirius Voyager,9051612,Crude Oil Tanker,88886,1994,Bahamas ,Chevron Corporation,United States of America,Chevron Transport Corporation Limited  ,Chevron Transport Corporation Limited  ,United States of America,Zhoushan,China,2014-11-11 00:00:00
Sea Adelaide,8317150,Bulk Carrier,15715,1984,Palau ,CHI Ocean International Shipping Company Limited,Hong Kong,CHI Ocean International Shipping Company Limited,Sea Adelaide Shipping Company Limited,Hong Kong,Alang,India,2015-08-28 00:00:00
Resolve,9061112,Fully Cellular Containership,53103,1995,St. Kitts-Nevis,Chiba Shipping Company Limited ,Japan,Chiba Shipping Company Limited ,Kashima Naviera S.A. ,Panama,Chittagong,Bangladesh,2015-11-16 00:00:00
Nanhai Kai Tuo,7008855,Floating Production Tanker,93370,1970,Liberia,China National Offshore Oil Corporation (CNOOC) ,China,China National Offshore Oil Corporation (CNOOC) ,CNOOC FPSO Holding Limited ,Liberia,Chittagong,Bangladesh,2015-12-05 00:00:00
Nan Hai 213,8108779,Anchor Handling Tug/Supply,1582,1981,China ,China National Offshore Oil Corporation (CNOOC) ,China,China Oilfield Services Limited (COSL) ,China Oilfield Services Limited (COSL) ,China,Unknown,China,2015-08-31 00:00:00
Huahai,7817086,Tug/Supply,1311,1979,Liberia ,China Ocean Engineering Services Shanghai Company (Shanghai Salvage Company)  ,China,Shenzhen Huawei Offshore Shipping Transport Company Limited  ,Huahai Shipping (Liberia) Incorporated  ,Liberia,Xinhui,China,2014-12-05 00:00:00
Fuyuan,9035797,Bulk Carrier,77096,1992,Hong Kong ,China Ocean Shipping (Group) Company (COSCO),China,COSCO Shanghai Ship Management Company Limited (COSHIPMAN)  ,Allied Way Shipping Limited  ,Hong Kong,Chittagong,Bangladesh,2015-02-19 00:00:00
Feng,8021828,Bulk Carrier,38563,1983,Comoros ,China Ocean Shipping (Group) Company (COSCO) ,China,China Ocean Shipping (Group) Company (COSCO) ,Dalian Huachang Shipping Company Limited ,China,Chittagong,Bangladesh,2015-11-09 00:00:00
Fu Wen Shan,8601343,General Cargo With Container Capacity,13823,1987,China ,China Ocean Shipping (Group) Company (COSCO) ,China,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,China,Ningde ,China,2015-08-06 00:00:00
Tian Bai Feng,9218167,Bulk Carrier,39042,2000,Hong Kong ,China Ocean Shipping (Group) Company (COSCO) ,China,China Ocean Shipping (Group) Company (COSCO) ,Jin Yan Navigation Incorporated ,Panama,Jiangyin,China,2015-08-28 00:00:00
Tian Zhu Feng,9203485,Bulk Carrier,38767,2000,Hong Kong ,China Ocean Shipping (Group) Company (COSCO) ,China,China Ocean Shipping (Group) Company (COSCO) ,Jin Que Nav. Incorporated ,Panama,Zhangjiagang,China,2015-12-31 00:00:00
Shou Ning Hai,8316510,Bulk Carrier,27766,1985,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,COSCO Bulk Carrier Company Limited  ,China,Shiqiao,China,2015-03-26 00:00:00
Peng Jie,8319500,Bulk Carrier,24950,1985,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen)  ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen)  ,China,Jiangyin,China,2015-01-06 00:00:00
Fu Yu Shan,8400505,General Cargo With Container Capacity,13482,1985,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Shipping Company Limited (COSCOL)  ,COSCO Shipping Company Limited (COSCOL)  ,China,Zhoushan,China,2014-06-04 00:00:00
Peng Cai,8408533,Bulk Carrier,26951,1985,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen)  ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen)  ,China,Jiangyin,China,2015-01-30 00:00:00
Yi Jia,8510037,Bulk Carrier,35247,1986,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen)  ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen)  ,China,Xinhui,China,2015-03-22 00:00:00
Peng Nian,8512877,Bulk Carrier,36987,1987,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen)  ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen)  ,China,Jiangyin,China,2015-01-12 00:00:00
Huan Le Hai,8916736,Bulk Carrier,36080,1990,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited,COSCO Bulk Carrier Company Limited,China,Dalian,China,2014-09-22 00:00:00
Tai Shun Hai,8919568,Bulk Carrier,27598,1991,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,COSCO Bulk Carrier Company Limited  ,China,Jiangyin,China,2015-02-16 00:00:00
Li Shan Hai,8919609,Bulk Carrier,35842,1992,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,COSCO Bulk Carrier Company Limited  ,China,Zhoushan,China,2014-08-27 00:00:00
Tai An Cheng,9015008,General Cargo With Container Capacity,16703,1992,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,Xiamen Ocean Shipping Company (COSCO Xiamen)  ,Xiamen Ocean Shipping Company (COSCO Xiamen)  ,China,Xinhui,China,2015-03-09 00:00:00
Shan He,9043641,Fully Cellular Containership,49375,1994,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Container Lines Limited (COSCON)  ,COSCO Container Lines Limited (COSCON)  ,China,Jiangyin,China,2015-01-12 00:00:00
Deng Zhou Hai,9055979,Bulk Carrier,38712,1995,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,Tianjin Tianhui Shipping Enterprises Company Limited  ,China,Jiangyin,China,2015-03-17 00:00:00
Fen Jin Hai,9056923,Bulk Carrier,38603,1995,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,COSCO Bulk Carrier Company Limited  ,China,Jiangyin,China,2015-01-16 00:00:00
Fu An Cheng,9063251,General Cargo With Container Capacity,16801,1994,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,Xiamen Ocean Shipping Company (COSCO Xiamen)  ,Xiamen Ocean Shipping Company (COSCO Xiamen)  ,China,Jiangyin,China,2015-01-19 00:00:00
C H S Bright,9102215,Bulk Carrier,77255,1995,Hong Kong ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO (HK) Shipping Company Limited  ,South Lotus Shipping Limited S.A.,Hong Kong,Xinhui,China,2015-02-12 00:00:00
Da Qing He,9122617,Fully Cellular Containership,9475,1996,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Container Lines Limited (COSCON)  ,Daqinghe Shipping Incorporated  ,Panama,Zhangjiagang ,China,2015-03-22 00:00:00
Yongdinghe,9122631,Fully Cellular Containership,9471,1996,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,Shanghai Ocean Shipping Company Limited (COSCO Shanghai)  ,Yongdinghe Shipping Incorporated,Panama,Zhangjiagang ,China,2015-01-31 00:00:00
Hutuohe,9122643,Fully Cellular Containership,9471,1997,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Container Lines Limited (COSCON)  ,Hutuohe Shipping Incorporated,Panama,Jiangyin,China,2014-12-25 00:00:00
Tian Sheng Hai,9137600,Bulk Carrier,85676,1997,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,Qingdao Ocean Shipping Company Limited (COSCO Qingdao)  ,Tianshenghai Maritime Incorporated  ,Panama,Jiangyin,China,2015-03-23 00:00:00
Xin Hui He,9141182,Bulk Carrier With Container Capacity,12122,1996,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Container Lines Limited (COSCON)  ,Xinhuihe Maritime Incorporated  ,Panama,Jiangyin,China,2015-01-12 00:00:00
Zhao Qing He,9146687,Fully Cellular Containership,12122,1996,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Container Lines Limited (COSCON)  ,Zhaoqinghe Maritime Incorporated,Panama,Jiangyin,China,2015-01-11 00:00:00
Chao Shan He,9146699,General Cargo With Container Capacity,12122,1996,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Container Lines Limited (COSCON)  ,Chaoshanhe Maritime Incorporated,Panama,Zhangjiagang ,China,2014-12-28 00:00:00
Yang Jiang He,9146704,General Cargo With Container Capacity,12122,1997,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Container Lines Limited (COSCON)  ,Yangjianghe Maritime Incorporated  ,Panama,Jiangyin,China,2015-01-19 00:00:00
Dong Chang Hai,9158381,Bulk Carrier,18074,1997,Panama ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,Dongchanghai Shipping Incorporated  ,Panama,Jiangyin,China,2015-03-11 00:00:00
Song Shan Hai,9160243,Bulk Carrier,39361,1997,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,COSCO Bulk Carrier Company Limited  ,China,Jiangyin,China,2015-01-22 00:00:00
Huang Shan Hai,9160255,Bulk Carrier,39361,1998,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,COSCO Bulk Carrier Company Limited  ,China,Jiangyin,China,2015-01-13 00:00:00
Nan Chang Hai,9160279,Bulk Carrier,16677,1998,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Bulk Carrier Company Limited  ,COSCO Bulk Carrier Company Limited  ,China,Zhoushan,China,2014-10-26 00:00:00
Fu Xin Shan,8601379,General Cargo With Container Capacity,13823,1990,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Shipping Company Limited (COSCOL)  ,COSCO Shipping Company Limited (COSCOL)  ,China,Unknown,China,2015-03-31 00:00:00
Peng Xin,8912596,Bulk Carrier,23307,1990,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen)  ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen)  ,China,Jiangyin,China,2015-03-30 00:00:00
Yong An Cheng,8919532,General Cargo With Container Capacity,16703,1992,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,Xiamen Ocean Shipping Company (COSCO Xiamen)  ,Xiamen Ocean Shipping Company (COSCO Xiamen)  ,China,Ningde ,China,2015-03-24 00:00:00
Xiu He,9043005,Fully Cellular Containership,22746,1993,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Container Lines Limited (COSCON)  ,COSCO Container Lines Limited (COSCON)  ,China,Unknown,China,2015-04-30 00:00:00
Ya He,9043017,Fully Cellular Containership,22746,1993,China ,China Ocean Shipping (Group) Company (COSCO)  ,China,COSCO Container Lines Limited (COSCON)  ,COSCO Container Lines Limited (COSCON)  ,China,Jiangyin,China,2015-04-10 00:00:00
