BO Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Next to last,Date of change,Commercial operator,Registered owner,Destination yard,Beaching date,Built in (y),Type of ship,Sub-type of ship,LDT,USD/ton
China,Shanghai Shenyue Ship Management Company,Hua Tu,9035785,Panama,,,Shanghai Shenyue Ship Management Company,Hua Tuu Shipping Limited ,"Chittagong, Bangladesh",2013-05-12 00:00:00,1992,Bulker,,18431,
China,Winning (HK) Shipping Company Limited,Friend,8413435,Panama,,,Winning (HK) Shipping Company Limited,Fruitful Shipping S.A. ,"Chittagong, Bangladesh",2013-03-29 00:00:00,1986,Bulker,,,
China,Five Ocean Maritime Services Company Limited,Free Sky,8020288,Panama ,,,Five Ocean Maritime Services Company Limited,KS Shipping Company Limited ,"Chongming, China ",2013-01-28 00:00:00,1983,Bulker,,,
China,Sea Star Ships Management Company Limited,Macau Mineral,8716021,Panama ,,,Sea Star Ships Management Company Limited,Macau Mineral Limited ,"Dalian, China",2013-09-21 00:00:00,1989,Bulker,,,
China,Hongyuan Marine Company Limited,Hong Express,8908210,Marshall Islands ,,,Hongyuan Marine Company Limited,Hong Express Shipping Company Limited ,"Gadani, Pakistan",2013-06-04 00:00:00,1990,Bulker,,15800,
China,Consult Enterprise Limited,Hua Di,8405854,Panama ,,,Consult Enterprise Limited,Pan-Chinese Shipping (HK) Company Limited ,"Gaogang, China",2012-12-25 00:00:00,1989,Bulker,,,
China,Five Ocean Maritime Services Company Limited ,Hua Wen/Probo Koala,8309816,Panama ,,,Five Ocean Maritime Services Company Limited ,Five Ocean Maritime Services Company Limited ,"Gaogang, China ",2013-01-25 00:00:00,1986,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Mass Merit,9050319,Panama ,,,COSCO (HK) Shipping Company Limited ,Fidelitas Maritime Corporation ,"Jiangyin, China",2013-09-16 00:00:00,1993,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Shou Guang Hai,8412053,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,"Jiangyin, China",2013-01-17 00:00:00,1985,Bulker,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Tai Cang Hai,8318283,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,"Jiangyin, China",2013-09-30 00:00:00,1985,Bulker,,,
