BO Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Next to last,Date of change,Commercial operator,Registered owner,Destination yard,Beaching date,Built in (y),Type of ship,Sub-type of ship,LDT,USD/ton
Bangladesh,Ratanpur Shipping Lines Limited,Ratan Fidelity,8602397,Bangladesh ,,,Ratanpur Shipping Lines Limited,Ratanpur Shipping Lines Limited,"Chittagong, Bangladesh",2013-07-01 00:00:00,2004,General Cargo Ship,,,
Bangladesh,Ratanpur Shipping Lines Limited,Ratan Pathfinder,8620117,Bangladesh ,,,Ratanpur Shipping Lines Limited,Ratanpur Shipping Services Limited ,"Chittagong, Bangladesh",2013-07-10 00:00:00,1986,General Cargo Ship,,,
Bangladesh,Trans Ocean Lines Limited,Trans Ocean 2,8322507,Bangladesh ,,,Trans Ocean Lines Limited,Trans Ocean Lines Limited,"Chittagong, Bangladesh",2013-11-06 00:00:00,1986,General Cargo Ship,,11030,
Belize,Mermaid Marine,Tanais,8872605,Moldova ,,,Mermaid Marine,Mermaid Marine,"Aliaga, Turkey",2013-04-19 00:00:00,1990,General Cargo Ship,,,
Belize,Trans Union,Lotos-1,8031457,Moldova ,,,Trans Union,Trans Union,"Aliaga, Turkey",2013-01-07 00:00:00,1980,General Cargo Ship,,,
Bermuda,Gearbulk Holding Limited,Osprey Arrow,8313697,Bahamas,,,Gearbulk Holding Limited ,Gearbulk Shipowning Limited ,"Alang, India",2013-04-10 00:00:00,1985,General Cargo Ship,,,
Bermuda,Gearbulk Holding Limited,Tern Arrow,8316730,Bahamas ,,,Gearbulk Holding Limited,Gearbulk Shipowning Limited ,"Alang, India",2013-09-05 00:00:00,1986,General Cargo Ship,,13177,
Bermuda,Gearbulk Holding Limited,Apalis Arrow,8013869,Bahamas ,,,Gearbulk Holding Limited,Gearbulk Shipowning Limited ,"Jiangyin, China ",2013-01-05 00:00:00,1983,General Cargo Ship,,,
Bulgaria,Seaborne Trade Limited,SV. Georgi,8518065,Bulgaria ,,,Seaborne Trade Limited,Danten LLP ,"Aliaga, Turkey",2013-12-23 00:00:00,1987,General Cargo Ship,,,
Bulgaria,Trimpex Union Limited,Zehra VI,7620201,Togo ,,,Trimpex Union Limited,Unknown,"Aliaga, Turkey",2013-01-07 00:00:00,1976,General Cargo Ship,,,
Cambodia,Toptrade Group Incorporated,Palana,7819838,Russia ,,,Toptrade Group Incorporated,Toptrade Group Incorporated,"Zhangjiagang, China",2013-10-23 00:00:00,1979,General Cargo Ship,,,
Canada,Midland Shipping Company Limited,Volgo-Balt 122,8855633,Cambodia ,,,Midland Shipping Company Limited,Bangio Invest S.A. ,"Aliaga, Turkey",2013-01-03 00:00:00,1970,General Cargo Ship,,,
Chile,Naviera Ultranav Limitada,Corcovado,8322052,Chile,,,Naviera Ultranav Limitada,Naviera Ultranav Limitada,"Guayaquil, Ecuador ",2013-04-15 00:00:00,1985,General Cargo Ship,,,
China,Hongyuan Marine Company Limited,Yuan Da,8214607,Panama ,,,Hongyuan Marine Company Limited,Yuanda Maritime Limited ,"Alang, India",2013-08-20 00:00:00,1984,General Cargo Ship,,5671,385
China,Hongyuan Marine Company Limited,Yuan Teng,8214592,Panama ,,,Hongyuan Marine Company Limited,Hong Trust Shipping Company Limited ,"Alang, India",2013-12-07 00:00:00,1984,General Cargo Ship,,5672,408
China,HTM Shipping Company Limited,Bao Qing Men,8300925,Saint Vincent and the Grenadines ,,,HTM Shipping Company Limited,HTM Shipping Company Limited,"Alang, India",2013-01-11 00:00:00,1983,General Cargo Ship,,,
China,Nanjing King Ship Management Company Limited,King Bright,8701076,Saint Vincent and the Grenadines ,,,Nanjing King Ship Management Company Limited,King Bright Shipping Company Limited ,"Alang, India",2013-04-30 00:00:00,1988,General Cargo Ship,,,
China,Nanjing Ocean Shipping Company Limited,Xiang Rong Men,8701088,Panama ,,,Nanjing Ocean Shipping Company Limited,NYA Shipping Incorporated ,"Alang, India",2013-07-06 00:00:00,1988,General Cargo Ship,,,
China,Tranvast Shipping Company Limited,Smart Jessica,8200618,Saint Vincent and the Grenadines ,,,Tranvast Shipping Company Limited,U. Anna Shipping Company Limited ,"Alang, India",2013-03-27 00:00:00,1982,General Cargo Ship,,,
China,Tranvast Shipping Company Limited,Union Hellen,8307856,Saint Vincent and the Grenadines ,,,Tranvast Shipping Company Limited,Hellen Shipping Company Limited ,"Alang, India",2013-12-11 00:00:00,1984,General Cargo Ship,,7318,425
China,Aoyang Shipping Company Limited,New May,9035967,Panama ,,,Aoyang Shipping Company Limited,Aoyang Shipping Company Limited,China,2013-07-31 00:00:00,1990,General Cargo Ship,,,
China,Shanghai CP International Ship Management & Broker Company Limited,Pearl Bridge,8714918,Saint Vincent and the Grenadines ,,,Shanghai CP International Ship Management & Broker Company Limited,Golden Bridge Shipping Company Limited ,"Chittagong, Bangladesh",2013-08-01 00:00:00,1988,General Cargo Ship,,8671,
China,Shantou Tongcheng Shipping Company Limited,Bao Ying,8112445,Panama,,,Shantou Tongcheng Shipping Company Limited,Bao Ying Shipping Limited ,"Chittagong, Bangladesh",2013-05-03 00:00:00,1983,General Cargo Ship,,7044,
China,China Ocean Shipping (Group) Company (COSCO) ,An Shun Jiang,8414972,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Jiangyin, China",2013-09-16 00:00:00,1987,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Fu Kang Shan,8601367,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Jiangyin, China",2013-09-23 00:00:00,1989,General Cargo Ship,,,
China,S&S Shipmanagement Company Limited,Hai Shun,8418368,Panama ,,,S&S Shipmanagement Company Limited,Tamzen Corporation ,"Jiangyin, China",2013-03-26 00:00:00,1985,General Cargo Ship,,,
China,Shanghai Zhen Dong Shipping Company,Bao Rui,8301242,Panama ,,,Shanghai Zhen Dong Shipping Company,Han Lord Shipping S.A. ,"Jiangyin, China",2013-03-10 00:00:00,1983,General Cargo Ship,,,
China,Yantai Xiangrui International Ship Management Company Limited,Hai Ou,8304048,Cambodia ,,,Yantai Xiangrui International Ship Management Company Limited,Hong Kong Shunda Shipping Company Limited ,"Jiangyin, China",2013-08-21 00:00:00,1983,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,An Guang Jiang,8414960,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Jiangyin, China ",2013-10-11 00:00:00,1987,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Long An Cheng,8118255,Panama ,,,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Xiamen Ocean Shipping Company (COSCO Xiamen) ,"Jiangyin, China ",2013-05-22 00:00:00,1983,General Cargo Ship,,,
China,Yantai Xiangrui International Ship Management Company Limited ,Hai Ping,8421652,Cambodia ,,,Yantai Xiangrui International Ship Management Company Limited ,Hongkong Haiping Shipping Company Limited ,"Jiangyin, China ",2013-08-15 00:00:00,1985,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,An Long Jiang,8400828,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Ningde, China",2013-08-14 00:00:00,1985,General Cargo Ship,,,
China,Shanghai Yang Pu Zhe Hai Shipping Company Limited ,Xin Xiang Hai,8314770,China ,,,Shanghai Yang Pu Zhe Hai Shipping Company Limited ,Shanghai Yang Pu Zhe Hai Shipping Company Limited ,"Ningde, China",2013-04-07 00:00:00,1985,General Cargo Ship,,,
China,Tianjin Xinhai International Ship Management Company Limited,Xin Jia He,8318403,China ,,,Tianjin New Legend Shipping Company Limited ,Tianjin New Legend Shipping Company Limited ,"Ningde, China",2013-04-25 00:00:00,1985,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Fu Qing Shan,8601355,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Ningde, China ",2013-08-31 00:00:00,1989,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,Fu Yang Shan,8601331,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Ningde, China ",2013-07-20 00:00:00,1987,General Cargo Ship,,,
China,Anhui Ocean Shipping Company Limited,Best Rich,8217532,Hong Kong ,,,Anhui Ocean Shipping Company Limited,Best Rich Shipping Company Limited ,"Shanghai, China",2013-04-26 00:00:00,1982,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,An Yue Jiang,8414946,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Xingang, China ",2013-11-30 00:00:00,1986,General Cargo Ship,,,
China,Huayang Maritime Center (HMC) ,Skipper 1,8315255,Cambodia ,,,Huayang Maritime Center (HMC) ,Haiyou Shipping Company Limited ,"Xingang, China ",2013-08-21 00:00:00,1983,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,An Bao Jiang,8306943,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Xinhui, China",2013-02-18 00:00:00,1985,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,An Hua Jiang,8306955,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Xinhui, China",2013-01-09 00:00:00,1985,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,An Qing Jiang,8414922,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Xinhui, China",2013-08-23 00:00:00,1985,General Cargo Ship,,,
China,China Ocean Shipping (Group) Company (COSCO) ,An Xin Jiang,8414934,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,"Xinhui, China",2013-09-27 00:00:00,1986,General Cargo Ship,,,
China,Nanjing Ocean Shipping Company Limited,Jian Ye,8707331,Panama ,,,Nanjing Ocean Shipping Company Limited,NYB Shipping Incorporated ,"Xinhui, China",2013-02-20 00:00:00,1989,General Cargo Ship,,,
China,Winland Online Shipping Holdings Corporation,Win Hope,8606422,Malta ,,,Winland Shipping Company Limited ,Win Hope Shipping Company Limited ,"Xinhui, China",2013-09-17 00:00:00,1986,General Cargo Ship,,,
China,Winland Online Shipping Holdings Corporation,Win Moony,8204846,Panama,,,Winland Shipping Company Limited ,Win Moony Shipping S.A. ,"Xinhui, China",2013-03-29 00:00:00,1984,General Cargo Ship,,,
China,Befirst Enterprises Limited,Jin Jiang,8507585,Panama ,,,Befirst Enterprises Limited,Befirst Enterprises Limited,"Zhangjiagang, China",2013-09-24 00:00:00,1985,General Cargo Ship,,,
China,China Arts Huahai Import & Export Corporation Limited,Ao Yang Fen Jin,8400842,Sierra Leone ,Cambodia,2013-01-11 00:00:00,Aoyang Marine Company Limited ,Wealthy International Limited ,"Zhangjiagang, China",2013-01-22 00:00:00,1984,General Cargo Ship,,,
China,Dalian All Star Shipping Management Company Limited,Won Hope,8518950,Niue ,Tuvalu,2013-10-05 00:00:00,Dalian All Star Shipping Management Company Limited,Won Hope Shipping Company Limited ,"Zhangjiagang, China",2013-11-05 00:00:00,1985,General Cargo Ship,,,
China,Dalian Transquare-Line International Ship Management Company Limited,Rui Yuan,8875059,China ,Panama,2012-10-01 00:00:00,Dalian Transquare-Line International Ship Management Company Limited,China Land Shipping Dalian Company ,"Zhangjiagang, China",2013-10-19 00:00:00,1993,General Cargo Ship,,,
China,Fullwin Intertrade Limited,Chun Xing,8403741,Cambodia ,,,Dalian Sea Carrier Company Limited ,Coastal Breeze Limited ,"Zhangjiagang, China",2013-07-16 00:00:00,1984,General Cargo Ship,,,
China,Tianjin Fu Sheng Shipping Company ,Fu Sheng 82,7433191,China ,,,Tianjin Fu Sheng Shipping Company ,Tianjin Fu Sheng Shipping Company ,"Zhangjiagang, China",2013-03-21 00:00:00,1984,General Cargo Ship,,,
China,Tianjin International Marine Shipping Company Limited,Pacific Eagle,9004061,Panama ,,,Tianjin International Marine Shipping Company Limited,Oriental Pioneer Shipping S.A. ,"Zhangjiagang, China",2013-01-25 00:00:00,1990,General Cargo Ship,,,
China,Yan Tai Hong Ye Shipping Company,Ri Sheng,8508761,Cambodia ,,,Yan Tai Hong Ye Shipping Company,Hong Kong Ri Sheng Shipping Company ,"Zhangjiagang, China",2013-03-22 00:00:00,1985,General Cargo Ship,,,
China,Dalian Bonstar Shipping Company Limited ,Sea Rich,8411827,Panama,,,Dalian Bonstar Shipping Company Limited ,General Shipping Company Limited Incorporated ,"Zhangjiagang, China ",2013-01-28 00:00:00,1986,General Cargo Ship,,,
China,Ocean Stars International Ship,Fortress 7,8102103,Togo ,Panama,2012-06-28 00:00:00,Ocean Stars International Ship,K&H Shipping Limited ,"Zhangjiagang, China ",2013-12-17 00:00:00,1982,General Cargo Ship,,,
China,Royal Armadas International Company Limited,Sun Crystal,8304127,Sierra Leone ,,,Royal Armadas International Company Limited,New East-Light Limited ,"Zhangjiagang, China ",2013-12-24 00:00:00,1983,General Cargo Ship,,,
Curacao,Dabmar Ship Management N.V.,Sena T,7928031,Panama ,,,Dabmar Ship Management N.V.,Lumiere Shipping Limited ,"Aliaga, Turkey",2013-12-30 00:00:00,1981,General Cargo Ship,,,
Cyprus,Caprifirst Shipping Company Limited,Chopin,8513728,Cyprus ,,,Caprifirst Shipping Company Limited,Caprifirst Shipping Company Limited,"Alang, India",2013-11-20 00:00:00,1989,General Cargo Ship,,7455,435
Cyprus,SMT Shipmanagement & Transport Limited,Pacific Pearl,8011328,Bahamas,,,SMT Shipmanagement & Transport Limited,Pacific Pearl Shipping Company Limited ,"Alang, India",2013-05-17 00:00:00,1981,General Cargo Ship,,10599,
Cyprus,SMT Shipmanagement & Transport Limited,Baltic Pearl,7930137,Bahamas ,,,SMT Shipmanagement & Transport Limited,Baltic Pearl Shipping Company Limited ,"Chittagong, Bangladesh",2013-07-28 00:00:00,1982,General Cargo Ship,,10688,
Denmark,Norresundby Rederi ApS,SC Baltic,7393793,Denmark,,,Janus Andersen & Company A/S ,Baltic Carriers A/S ,"Grenaa, Denmark",2013-01-24 00:00:00,1975,General Cargo Ship,,,
Denmark,Rederiet Vega A/S,Vera,7413593,Sierra Leone ,Denmark,2012-09-25 00:00:00,Rederiet Vega A/S,Rederiet Vega A/S,"Grenaa, Denmark",2013-04-22 00:00:00,1975,General Cargo Ship,,16809,428
Egypt,El-Amira For Maritime Agencies,Khaled H.,8502183,Tanzania ,Barbados,2012-04-30 00:00:00,El-Amira For Maritime Agencies,Yasso Shipping Company S.A. ,"Alang, India",2013-11-02 00:00:00,1984,General Cargo Ship,,3457,415
Egypt,Future Express Shpping Incorporated,Ocean Gulfirst,8120856,Panama ,,,Future Express Shpping Incorporated,Future Express Shpping Incorporated,"Alang, India",2013-12-08 00:00:00,1982,General Cargo Ship,,3690,
Egypt,Amana Shipping Company Limited,Yousef A.,6510849,Togo ,,,Amana Shipping Company Limited,Amana Shipping Company Limited,"Aliaga, Turkey",2013-11-13 00:00:00,1965,General Cargo Ship,,,
Egypt,Dream Maritime Limited,Serine,7128370,Sierra Leone ,,,Dream Maritime Limited,Anomyo Maritime Company S.A. ,"Aliaga, Turkey",2013-04-02 00:00:00,1972,General Cargo Ship,,,
Egypt,Mermaid International Shipping,Navi Sky,7361489,Tanzania ,,,Mermaid International Shipping,Future Shipping Company S.A. ,"Aliaga, Turkey",2013-02-08 00:00:00,1976,General Cargo Ship,,,
Egypt,Mermaid International Shipping,Navi Star,7129233,Tanzania ,,,Mermaid International Shipping,Future Shipping Company S.A. ,"Aliaga, Turkey",2013-09-11 00:00:00,1972,General Cargo Ship,,,
Egypt,National Marine Services Company,Grande Star,7531591,Egypt ,,,National Shipping & Investment Company ,National Shipping & Investment Company ,"Aliaga, Turkey",2013-08-27 00:00:00,1980,General Cargo Ship,,,
Egypt,Government of Egypt ,Inaya,7715367,Togo ,Egypt,2012-05-30 00:00:00,Egyptian Navigation Company (ENC) ,Egyptian Navigation Company (ENC) ,"Mumbai, India",2013-12-02 00:00:00,1981,General Cargo Ship,,,
Egypt,Latt Trading & Shipping Company SAE,El Hussain,7915199,Tanzania,,,Latt Trading & Shipping Company SAE,Latt Trading & Shipping Company SAE,"Mumbai, India",2013-02-08 00:00:00,1982,General Cargo Ship,,,
Estonia,Fortmarine OU,Malbec,6919289,Sierra Leone ,,,Fortmarine OU,Comet Shipping Incorporated ,"Aliaga, Turkey",2013-06-03 00:00:00,1969,General Cargo Ship,,,
Finland,Oy Kraftline AB,Alholmen,8309921,Finland,,,Oy Kraftline AB,Oy Kraftline AB,"Grenaa, Denmark",2013-08-15 00:00:00,1984,General Cargo Ship,,,
Germany,Pegasus Denizcilik A.S.,Caner,7628851,Panama ,,,Pegasus Denizcilik A.S.,Cano Maritime Company Incorporated ,"Aliaga, Turkey",2013-05-23 00:00:00,1979,General Cargo Ship,,,
Germany,Reederei Hans Peterson & Sohne GmbH & Company KG,Charlotta,9064190,Liberia ,,,Reederei Hans Peterson & Sohne GmbH & Company KG,MS Charlotta Schiffahrtsgesellschaft mbH & Company KG ,"Aliaga, Turkey",2013-09-13 00:00:00,1993,General Cargo Ship,,,
Germany,Rhenus Maritime Services GmbH (RMS),Vela,8961949,Comoros ,,,Rhenus Maritime Services GmbH (RMS),Lakefield Shipping Company Limited ,"Aliaga, Turkey",2013-09-23 00:00:00,1982,General Cargo Ship,,,
Germany,Jurgen Ohle KG,Finja,7724564,Cook Islands ,,,Jurgen Ohle KG,Finja JHO Reederei GmbH & Company ,"Esbjerg, Denmark",2013-05-20 00:00:00,1978,General Cargo Ship,,,
Germany,Claus Speck ,Trans Agila,9113707,Antigua and Barbuda,,,Claus Speck ,ms Agila Bereederungsges. Speck GmbH & Company KG ,"Frederikshavn, Denmark",2013-01-28 00:00:00,1995,General Cargo Ship,,,
Germany,Reederei Heinz Corleis KG,Najad,7724021,Gibraltar,,,Reederei Heinz Corleis KG,Seahorse GmbH & Company KG ,"Grenaa, Denmark",2013-02-22 00:00:00,1979,General Cargo Ship,,,
Germany,Thien & Heyenga Bereederungs- und Befrachtungsgesellschaft mbH ,Stadt Berlin,9147203,Antigua and Barbuda ,,,Thien & Heyenga Bereederungs- und Befrachtungsgesellschaft mbH ,ms Stadt Berlin T & H Schiffahrts GmbH & Company KG ,"Zhangjiagang, China",2013-04-03 00:00:00,1998,General Cargo Ship,,,
Greece,Dragnis Group ,MSC Accra,8408844,Liberia ,Marshall Islands,2012-11-15 00:00:00,Goldenport Shipmanagement Limited ,Ginger Marine Company Limited ,"Alang, India",2013-09-21 00:00:00,1985,General Cargo Ship,,9278,
Greece,Trinto Maritime Company,Wind Force,8201882,Moldova ,Saint Vincent and the Grenadines,2013-03-12 00:00:00,Trinto Maritime Company,Northport Shipping Limited ,"Alang, India",2013-07-27 00:00:00,1982,General Cargo Ship,,2237,
Greece,Trinto Shipping Company,Costis,7801570,Saint Vincent and the Grenadines ,,,Trinto Shipping Company,Key Oceanways S.A. ,"Alang, India",2013-06-21 00:00:00,1978,General Cargo Ship,,1677,
Greece,Alkis Panagiotidis Shipping Enterprises Limited,Johanna,6710762,Togo ,Greece,2013-05-31 00:00:00,Alkis Panagiotidis Shipping Enterprises Limited,Proodos II Naftiki Eteria ,"Aliaga, Turkey",2013-06-02 00:00:00,1967,General Cargo Ship,,,
Greece,Balthellas Chartering S.A.,Klaipeda Spirit,9133721,Saint Vincent and the Grenadines ,,,Balthellas Chartering S.A.,Klaipeda Nav. Limited ,"Aliaga, Turkey",2013-08-12 00:00:00,1995,General Cargo Ship,,,
Greece,Eleftheri Mesogeios Shipping ,Eleftheri Mesogeios,6713752,Greece ,,,Eleftheri Mesogeios Shipping ,Eleftheri Mesogeios Shipping ,"Aliaga, Turkey",2013-06-20 00:00:00,1967,General Cargo Ship,,,
Greece,Epaminondas G. Logothetis,Tanzanite,8306864,Panama ,,,Karlog Shipping Company Limited ,Kallisti Maritime SA ,"Aliaga, Turkey",2013-01-09 00:00:00,1984,General Cargo Ship,,,
Greece,Evripos Maritime Company S.A.,Evripos,7037167,Greece ,,,Evripos Maritime Company S.A.,Evripos Maritime Company S.A.,"Aliaga, Turkey",2013-03-21 00:00:00,1970,General Cargo Ship,,,
Greece,Gals Trading S.A.,Michael,7530834,Comoros ,,,Gals Trading S.A.,Gals Trading S.A.,"Aliaga, Turkey",2013-04-01 00:00:00,1977,General Cargo Ship,,,
Greece,Golden Seaways I Shipping Company,Liberty,7237236,Comoros ,,,Golden Seaways I Shipping Company,Golden Seaways II Shipping Company,"Aliaga, Turkey",2013-11-20 00:00:00,1972,General Cargo Ship,,,
Greece,Tristar Management Limited,Andromeda,9045625,Sierra Leone ,Malta,2013-10-11 00:00:00,Tristar Management Limited,Mansoura Maritime Limited ,"Aliaga, Turkey",2013-10-12 00:00:00,2001,General Cargo Ship,,,
Greece,Euroseas Limited,Anking,8918241,Marshall Islands,,,Eurobulk Limited ,"Xenia International Corporation 
","Mumbai, India",2013-06-26 00:00:00,1990,General Cargo Ship,,,
Greece,Seamasters International S.A.,Fairwind,8411281,Saint Vincent and the Grenadines ,,,Seamasters International S.A. ,Fairwind Shipping Company S.A. ,"Mumbai, India",2013-03-04 00:00:00,1985,General Cargo Ship,,,
Honduras,Saaed Shipping Company S.A.,Al Amer,7500255,Cambodia ,,,Saaed Shipping Company S.A.,Saaed Shipping Company S.A.,"Aliaga, Turkey",2013-09-25 00:00:00,1976,General Cargo Ship,,,
Hong Kong,Dalian Yixin Shipping Agency,Ji Shun,8317174,Cambodia ,,,Dalian Yixin Shipping Agency,Jiyun Shipping (HK) Company Limited ,China,2013-08-31 00:00:00,1983,General Cargo Ship,,,
Hong Kong,Korea Daesan Shipping Company ,Ocean Dawn,7614733,Cambodia,,,Korea Daesan Shipping Company ,Korea Daesan Shipping Company ,"Chittagong, Bangladesh",2013-05-09 00:00:00,1979,General Cargo Ship,,3846,
Hong Kong,Dalian Panocean International Ship Management Company Limited,Golden Queen,8319122,Panama ,,,Dalian Panocean International Ship Management Company Limited,Golden Queen International Shipping Company Limited ,"Jiangyin, China",2013-05-30 00:00:00,1984,General Cargo Ship,,,
Hong Kong,Lianyungang Haitong (HK) Shipping Company Limited,Anik,8702082,Panama ,,,Lianyungang Haitong (HK) Shipping Company Limited,Lianyungang Haitong (HK) Shipping Company Limited,"Jiangyin, China",2013-09-21 00:00:00,1987,General Cargo Ship,,8834,362
Hong Kong,Starford International Shipping Company Limited,Starford 4,8401042,Panama ,,,Starford International Shipping Company Limited,Sun Ease Investments Limited ,"Jiangyin, China",2013-01-23 00:00:00,1985,General Cargo Ship,,,
Hong Kong,Starford International Shipping Company Limited,Starford 5,8401030,Panama ,,,Starford International Shipping Company Limited,Huge Fortune International Limited ,"Jiangyin, China",2013-02-05 00:00:00,1985,General Cargo Ship,,,
Hong Kong,Sun Yee Godown & Transportation Company Limited,Chu Hong,9073177,Panama ,,,Sun Yee Godown & Transportation Company Limited,Chu Hong Shipping S.A. ,"Jiangyin, China",2013-03-22 00:00:00,1995,General Cargo Ship,,,
Hong Kong,Jun Hao Marine Shipping Company Limited,Jia Lin,7921681,Mongolia ,Panama,2012-11-09 00:00:00,Jun Hao Marine Shipping Company Limited,Jia Lin Shipping Company Limited ,"Jiangyin, China ",2013-03-29 00:00:00,1980,General Cargo Ship,,,
Hong Kong,Starford International Shipping Company Limited,Ai Rui Tong,8401028,Panama ,,,Starford International Shipping Company Limited ,Prosper International Limited ,"Zhangjiagang, China",2013-11-14 00:00:00,1985,General Cargo Ship,,,
India,Hermes Maritime Services Private Limited,Senator I,7912563,Saint Kitts and Nevis,,,Hermes Maritime Services Private Limited,Saballan Shipping Incorporated ,"Alang, India",2013-03-16 00:00:00,1980,General Cargo Ship,,,
India,Transworld Group ,BSL India Express,8407199,Panama ,,,Shreyas Shipping & Logistics Limited ,Orient Express Lines Limited ,"Alang, India",2013-12-15 00:00:00,1986,General Cargo Ship,,,
India,India Transport & Travel Private Limited,Nazish,8100131,India,,,India Transport & Travel Private Limited,India Transport & Travel Private Limited,"Kolkata, India",2013-02-05 00:00:00,1982,General Cargo Ship,,,
India,Butterfly Sailings Private Limited,Mumbai Butterfly,8714748,Panama ,,,Butterfly Sailings Private Limited,Butterfly Sailings Private Limited,"Mumbai, India",2013-07-17 00:00:00,1988,General Cargo Ship,,,
Indonesia,P.T. Meratus Line,Mayapada,7619068,Indonesia,,,P.T. Meratus Line,P.T. Meratus Line,"Kolkata, India",2013-05-02 00:00:00,1978,General Cargo Ship,,,
Italy,Vittorio Bogazzi & Figli S.p.A.,Deal Castle,8220230,Saint Vincent and the Grenadines ,,,Navalmar (UK) Limited ,Navalmar (UK) Limited ,"Alang, India",2013-01-12 00:00:00,1983,General Cargo Ship,,,
Italy,Domitia di Navigazione S.A.S.,Silver Sand,8843850,Saint Vincent and the Grenadines ,Isle of Man,2013-05-02 00:00:00,Domitia di Navigazione S.A.S.,Capri Shipping Company Limited ,"Aliaga, Turkey",2013-09-02 00:00:00,1982,General Cargo Ship,,,
Italy,Marworld Ship Management and Services S.r.l.,MRW Sanna,8403557,Saint Vincent and the Grenadines ,Italy,2012-04-16 00:00:00,Marworld Ship Management and Services S.r.l.,Marworld Ship Management and Services S.r.l.,"Aliaga, Turkey",2013-08-01 00:00:00,1984,General Cargo Ship,,,
Italy,Vittorio Bogazzi & Figli S.p.A.,Valpolicella,8105832,Saint Vincent and the Grenadines ,,,Navalmar (UK) Limited ,Navalmar (UK) Limited ,"Mumbai, India",2013-04-01 00:00:00,1983,General Cargo Ship,,,
Latvia,Fisher & Fisher,Lara,6714146,Unknown,Saint Vincent and the Grenadines,2013-04-17 00:00:00,Fisher & Fisher,Gregory Lines Limited ,"Aliaga, Turkey",2013-04-02 00:00:00,1967,General Cargo Ship,,,
Lebanon,Cata Shipping Management Company,Star Prince,7625706,Tanzania ,,,Cata Shipping Management Company,World Trade Shipping Company S.A. ,"Alang, India",2013-12-13 00:00:00,1977,General Cargo Ship,,5526,
Lebanon,GMZ Ship Management Company S.A. ,Captain Adam,8216124,Togo ,,,GMZ Ship Management Company S.A. ,Adam Marine Company S.A. ,"Alang, India",2013-09-27 00:00:00,1984,General Cargo Ship,,3281,
Lebanon,Unifleet Management Company S.A.,Energy 3,7920429,Moldova ,Cambodia,2013-06-04 00:00:00,Unifleet Management Company S.A.,Gulf Energy Overseas SA ,"Alang, India",2013-12-17 00:00:00,1980,General Cargo Ship,,3200,
Lebanon,Zahra Maritime Services Company,Al Naser,7508752,Tanzania ,,,Zahra Maritime Services Company,Zahranos Shipping Company S.A. ,"Alang, India",2013-12-04 00:00:00,1977,General Cargo Ship,,3570,
Lebanon,Ademar Shipping Lines S.a.r.l.,Geni 4,6719902,Togo ,,,Ademar Shipping Lines S.a.r.l.,Sierra Navigation Company Limited S.A. ,"Aliaga, Turkey",2013-04-23 00:00:00,1967,General Cargo Ship,,,
Lebanon,Alfamarine Shipping Company Limited,Toufic K.,6609327,Togo ,,,Alfamarine Shipping Company Limited,Almina Shipping S.A. ,"Aliaga, Turkey",2013-05-20 00:00:00,1966,General Cargo Ship,,,
Lebanon,Barhoum Maritime Company,Athina A.,7129180,Tanzania ,,,Barhoum Maritime Company,Bedour Maritime Company S.A. ,"Aliaga, Turkey",2013-08-02 00:00:00,1972,General Cargo Ship,,,
Lebanon,Barhoum Maritime Company,Ghada D.,7715989,Moldova ,,,Barhoum Maritime Company,Daleh Shipmanagement Limited ,"Aliaga, Turkey",2013-12-10 00:00:00,1978,General Cargo Ship,,,
