VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,OWNERSHIP,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,DESTINATION,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
8504181,SS GRAYWOLF,General Cargo Ship,1856,993,1985,Honduras,,Soi Shipping Ltd,Marshall Islands,Soi Shipping Ltd,Soi Shipping Ltd,Marshall Islands,Aliaga,Turkey,2024-10-01 00:00:00,,
7370193,FPSO CAPIXABA,"FPSO, Oil",137452,54656,1974,Bahamas,,SBM Offshore NV,Netherlands,PETROBRAS,SBM Espirito do Mar Inc,Switzerland,Frederikshavn,Denmark,2024-05-01 00:00:00,,
7389405,FPSO FLUMINENSE,"FPSO, Oil",171186,42798,1974,Bahamas,,Shell Plc,Netherlands,Modec International Inc,Shell Brasil Petroleo Ltda,Brazil,Frederikshavn,Denmark,2024-08-01 00:00:00,,
9085479,TWEEDIA,Refrigerated Cargo Ship,5471,3064,1994,St Kitts & Nevis,Netherlands,Seatrade Groningen BV,Netherlands,GreenSea Chartering BVBA,Cool Expreso Shipping Co NV,Curaçao,Alang,India,2024-08-01 00:00:00,,
7221275,STAR ARUBA,Edible Oil Tanker,1161,899,1972,Netherlands,,Koole Tanktransport BV,Netherlands,Koole Tanktransport BV,Star Bonaire BV,Netherlands,Kampen,Netherlands,2024-03-01 00:00:00,,
8300389,HAPPY BUCCANEER,General Cargo Ship,16341,9900,1984,Netherlands,,Spliethoff's Bevrachtings BV,Netherlands,BigLift Shipping BV,Rederij Happy Buccaneer,Netherlands,Aliaga,Turkey,2024-10-01 00:00:00,,
8025343,SUPER SERVANT 4,"Heavy Load Carrier, semi submersible",12642,6140,1982,Curacao,,Spliethoff's Bevrachtings BV,Netherlands,Dockwise Yacht Transport LLC,Shuttle Shipping NV,Netherlands,Aliaga,Turkey,2024-10-01 00:00:00,,
9126704,WIND,General Cargo Ship,4150,2489,1997,St Kitts & Nevis,Vanuatu,Move Investments Ltd,New Zealand,Move Oceans Singapore Pte Ltd,Move Oceans Singapore Pte Ltd,Singapore,Alang,India,2024-10-01 00:00:00,,
8757647,COMANCHE,Pipe Layer,10324,9091,1969,St Kitts & Nevis,Vanuatu,TCO Marine Ltd,Nigeria,TCO Marine Ltd,TCO Marine Ltd,Nigeria,Chittagong,Bangladesh,2024-05-01 00:00:00,,
8209743,LILL,General Cargo Ship,1843,1221,1985,Norway (Nis),,Hav Shipping AS,Norway,Rolf Wagle AS,Skagerak Shipping AS,Norway,Esbjerg,Denmark,2024-12-01 00:00:00,,
8819304,GREEN FREEZER,Refrigerated Cargo Ship,5084,2987,1991,Bahamas,,Green Reefers,Norway,GreenSea Chartering BVBA,Green Shipping AS,Norway,Alang,India,2024-01-01 00:00:00,,
8804579,GREEN MALOY,Refrigerated Cargo Ship,5084,2975,1990,Bahamas,,Green Reefers,Norway,GreenSea Chartering BVBA,Green Shipping AS,Norway,Alang,India,2024-10-01 00:00:00,,
8804555,GREEN BODO,Refrigerated Cargo Ship,5084,2957,1990,Bahamas,,Green Reefers,Norway,GreenSea Chartering BVBA,Green Shipping AS,Norway,Alang,India,2024-10-01 00:00:00,,
8804529,GREEN SELJE,Refrigerated Cargo Ship,5084,2979,1989,Bahamas,,Green Reefers,Norway,GreenSea Chartering BVBA,Green Shipping AS,Norway,Alang,India,2024-11-01 00:00:00,,
7721184,HELGOY,Passenger/Ro-Ro Ship (Vehicles),874,0,1978,Norway,,Torghatten Nord AS,Norway,Torghatten Nord AS,Torghatten Nord AS,Norway,Ulsteinvik,Norway,2024-02-01 00:00:00,,
7611755,SOLNOR,Passenger/Ro-Ro Ship (Vehicles),765,0,1977,Norway,,Fjord1 AS,Norway,Fjord1 AS,Fjord1 AS,Norway,Stokksund,Norway,2024-03-01 00:00:00,,
7405936,ROSENDAL,Passenger/Ro-Ro Ship (Vehicles),768,0,1975,Norway,,Torghatten Nord AS,Norway,Torghatten Nord AS,Torghatten Nord AS,Norway,Stokksund,Norway,2024-04-01 00:00:00,,
8750376,BIDEFORD DOLPHIN,"Drilling Rig, semi Submersible",16813,27438,1975,Bermuda,,Fred Olsen & Co,Norway,Dolphin Drilling Offshore AS,Dolphin Drilling Offshore AS,Norway,Aliaga,Turkey,2024-08-01 00:00:00,,
8756186,LEADER,"Drilling Rig, semi Submersible",26099,0,1987,Bermuda,,Fred Olsen & Co,Norway,Dolphin Drilling Offshore AS,Dolphin Drilling Ltd,United Kingdom,Aliaga,Turkey,2024-10-01 00:00:00,,
8804543,GREEN COOLER,Refrigerated Cargo Ship,5084,2990,1990,Bahamas,,Green Reefers,Norway,GreenSea Chartering BVBA,Green Shipping AS,Norway,Aliaga,Turkey,2024-12-01 00:00:00,,
8509026,DHAFI,Passenger Ship,10797,6040,1987,Comoros,Oman,Oman Govt,Oman,Royal Yachts Squadron,Royal Yachts Squadron,Oman,Gadani,Pakistan,2024-02-01 00:00:00,,
9060405,FUKUDA,Products Tanker,1291,750,1992,St Kitts & Nevis,,Fukuda Maritime SA,Panama,Fukuda Maritime SA,Fukuda Maritime SA,Panama,Chittagong,Bangladesh,2024-02-01 00:00:00,,
8810944,SEA FLOWER,General Cargo Ship (with Ro-Ro facility),10022,5282,1991,Tanzania (Zanzibar),,Premier Maritime Ship Mgmt,Panama,Premier Maritime Ship Mgmt,Premier Maritime Ship Mgmt,Panama,Gadani,Pakistan,2024-03-01 00:00:00,,
9105578,TORO BIANCO,Bulk Carrier,36617,9269,1995,Panama,,Toro Bianco Inc,Panama,Toro Bianco Inc,Toro Bianco Inc,Panama,Gadani,Pakistan,2024-04-01 00:00:00,,
9066758,POSEIDON M,Bulk Carrier,22147,7170,1994,Sao Tome & Principe,Panama,Poseidon Shipping Enterprises,Panama,Majesty Navigation Enterprises,Poseidon Shipping Enterprises,Panama,Gadani,Pakistan,2024-05-01 00:00:00,,
7813925,SALY REEFER,Refrigerated Cargo Ship,2009,0,1979,Cameroon,,Fishing & Cargo Services SA,Panama,West Coast Frozen Fish SA,Fishing & Cargo Services SA,Panama,Aliaga,Turkey,2024-06-01 00:00:00,,
8607646,WEST OCEAN 12,General Cargo Ship,2854,1722,1987,Philippines,,West Ocean Lines & Transport,Philippines,West Ocean Lines & Transport,West Ocean Lines & Transport,Philippines,Chittagong,Bangladesh,2023-12-01 00:00:00,,
8912510,SPAN 23,General Cargo Ship,3845,2197,1990,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-01-01 00:00:00,,
8324024,LEGASPI,General Cargo Ship,1194,1506,1984,St Kitts & Nevis,Philippines,Racal Shipping Corp,Philippines,Racal Shipping Corp,Racal Shipping Corp,Philippines,Chittagong,Bangladesh,2024-02-01 00:00:00,,
8203646,SIA 32,General Cargo Ship,5503,2801,1982,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-05-01 00:00:00,,
8818752,SIA 3,General Cargo Ship,3845,2200,1989,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-05-01 00:00:00,,
8500068,SIA 2,General Cargo Ship,3120,1836,1985,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-05-01 00:00:00,,
8603535,SPAN 33,General Cargo Ship,3113,1826,1986,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-05-01 00:00:00,,
8500056,SPAN 30,General Cargo Ship,3120,1826,1985,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-05-01 00:00:00,,
8410378,PAN,General Cargo Ship,3120,1662,1984,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-07-01 00:00:00,,
7824613,SIA 30,General Cargo Ship,4226,2587,1979,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-07-01 00:00:00,,
8608444,SIA 20,General Cargo Ship,3277,1747,1987,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-07-01 00:00:00,,
8410392,SP 19,General Cargo Ship,3120,1664,1984,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-07-01 00:00:00,,
8611946,AN 11,General Cargo Ship,3236,1632,1987,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-07-01 00:00:00,,
9202089,SIA 21,General Cargo Ship,7541,3958,2000,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-08-01 00:00:00,,
9076351,ASIA 10,General Cargo Ship,4980,2610,1994,St Kitts & Nevis,Philippines,Philippine Span Asia Carrier,Philippines,Philippine Span Asia Carrier,Philippine Span Asia Carrier,Philippines,Chittagong,Bangladesh,2024-12-01 00:00:00,,
